id,p1_application,p2_dynamics_model,p3_time_constant,n1_protocol,n2_latency,n3_packet_loss,c1_strategy,c2_trigger,c3_architecture,e1_control_quality,e2_network_resource,e3_energy,evidence_type,comparator_present,article_type_flag,fields_with_locator,basis_p1_application,basis_p2_dynamics_model,basis_p3_time_constant,basis_n1_protocol,basis_n2_latency,basis_n3_packet_loss,basis_c1_strategy,basis_c2_trigger,basis_c3_architecture,basis_e1_control_quality,basis_e2_network_resource,basis_e3_energy,basis_evidence_type,basis_comparator_present,basis_article_type_flag
S38,irrigation_outdoor,data_driven,not_stated,LoRa_LoRaWAN,not_reported,not_reported,Fuzzy,not_stated,cloud,overshoot the VWC in that minute in order to avoid water waste,not_reported,power consumption,lab_prototype_or_HIL,concurrent_experimental,primary_study,10,rule,rule,absent,rule,absent,absent,rule,absent,rule,rule,absent,rule,rule,rule,rule
S40,greenhouse_microclimate,none_stated,not_stated,ZigBee_802154,not_reported,not_reported,on_off_threshold,time_triggered,standalone_embedded,not_reported,not_reported,power consumption is ultra-low,lab_prototype_or_HIL,concurrent_experimental,primary_study,8,rule,absent,absent,rule,absent,absent,adjudicated,rule,rule,absent,absent,rule,adjudicated,rule,rule_no_locator
S41,irrigation_outdoor,data_driven,not_stated,LoRa_LoRaWAN,not_reported,not_reported,Fuzzy,not_stated,hybrid_cloud_edge,RMSE < 0,not_reported,"mAh LiFePO4 battery, enabling ≥15 days",field_deployment,concurrent_experimental,primary_study,10,rule,rule,absent,rule,absent,absent,rule,absent,rule,rule,absent,rule,rule,rule,rule
S42,hydroponic_cea,data_driven,not_stated,NB_IoT_cellular,not_reported,not_reported,on_off_threshold,not_stated,cloud,Water saving technology • Higher yields,not_reported,energy saving up to 9,lab_prototype_or_HIL,none,primary_study,9,rule,rule,absent,rule,absent,absent,rule,absent,rule,rule,absent,rule,rule,rule_no_locator,rule
S43,not_stated,none_stated,not_stated,WiFi,not_reported,not_reported,not_stated,time_triggered,cloud,not_reported,not_reported,power consumption; after the cycle restarts,lab_prototype_or_HIL,none,primary_study,5,absent,absent,absent,rule,absent,absent,absent,rule,rule,absent,absent,rule,rule,rule_no_locator,rule_no_locator
S44,irrigation_outdoor,data_driven,not_stated,WiFi,delay ≤ 50 ms,not_reported,Fuzzy,not_stated,standalone_embedded,overshoot to below 5% and decreases the stabilization time to 0,not_reported,power consumption ≤ 100 mW,lab_prototype_or_HIL,concurrent_experimental,primary_study,10,rule,rule,absent,rule,rule,absent,rule,absent,rule,rule,absent,rule,rule,rule,rule_no_locator
S45,irrigation_outdoor,data_driven,not_stated,LoRa_LoRaWAN,not_reported,packet loss occurs,Fuzzy,time_triggered,hybrid_cloud_edge,water saving,not_reported,power consumption,field_deployment,none,primary_study,10,rule,rule,absent,rule,absent,rule,rule,rule,rule,rule,absent,rule,rule,rule_no_locator,rule_no_locator
S46,greenhouse_microclimate,data_driven,not_stated,LoRa_LoRaWAN,not_reported,packet loss Minimize frequency of communication Remote installation,not_stated,not_stated,edge_local,ise,duty cycle is not a primary concern while deploying LoRaWAN-,power consumption,field_deployment,none,secondary_review,10,rule,rule,absent,rule,absent,rule,absent,absent,rule,rule,rule,rule,rule,rule_no_locator,rule
S48,not_stated,none_stated,not_stated,mixed,not_reported,packet error rate below 20%,Fuzzy,not_stated,cloud,not_reported,not_reported,"power consumption, etc",lab_prototype_or_HIL,none,primary_study,6,absent,absent,absent,rule,absent,rule,rule,absent,rule,absent,absent,rule,rule,rule_no_locator,rule_no_locator
S52,irrigation_outdoor,none_stated,not_stated,LoRa_LoRaWAN,not_reported,packet losses and even to a wireless communication outage,Fuzzy,not_stated,cloud,water saving,duty cycle limit of on-air time,"energy consumption, this",mixed_experiment_and_simulation,none,primary_study,10,rule,absent,absent,rule,absent,rule,rule,absent,rule,rule,rule,rule,adjudicated,rule_no_locator,rule
S55,not_stated,none_stated,not_stated,LoRa_LoRaWAN,not_reported,"Packet Delivery Ratio), which show the results of the quality of",none_monitoring_only,not_stated,not_stated,"water savings by 22% - 33%, so that the use of smart greenhouses supports",not_reported,"power consumption, and high robustness are just a",lab_prototype_or_HIL,none,primary_study,6,absent,absent,absent,rule,absent,rule,rule,absent,absent,rule,absent,rule,rule,rule_no_locator,rule_no_locator
S57,hydroponic_cea,none_stated,not_stated,WiFi,not_reported,not_reported,none_monitoring_only,not_stated,standalone_embedded,not_reported,not_reported,not_reported,lab_prototype_or_HIL,none,primary_study,5,rule,absent,absent,rule,absent,absent,rule,absent,rule,absent,absent,absent,rule,rule_no_locator,rule_no_locator
S58,greenhouse_microclimate,none_stated,not_stated,none_no_network,not_reported,not_reported,not_stated,not_stated,not_stated,not_reported,not_reported,not_reported,simulation_only,none,primary_study,2,rule,absent,absent,rule,absent,absent,absent,absent,absent,absent,absent,absent,rule_no_locator,rule_no_locator,rule_no_locator
S59,irrigation_outdoor,none_stated,not_stated,LoRa_LoRaWAN,delay and 5 ms,not_reported,not_stated,time_triggered,hybrid_cloud_edge,not_reported,not_reported,"energy consumption that represents up to 30% of the production cost, by implem",lab_prototype_or_HIL,none,primary_study,7,rule,absent,absent,rule,rule,absent,absent,rule,rule,absent,absent,rule,rule,rule_no_locator,rule_no_locator
S60,not_stated,none_stated,not_stated,ZigBee_802154,not_reported,not_reported,none_monitoring_only,not_stated,not_stated,not_reported,not_reported,"power consumption, strong mobility and other advantages in deployment and mai",simulation_only,none,primary_study,3,absent,absent,absent,rule,absent,absent,rule,absent,absent,absent,absent,rule,rule_no_locator,rule_no_locator,rule_no_locator
S61,greenhouse_microclimate,none_stated,not_stated,ZigBee_802154,not_reported,not_reported,MPC,not_stated,standalone_embedded,not_reported,not_reported,energy consumption to achieve standardized production,lab_prototype_or_HIL,none,primary_study,6,rule,absent,absent,rule,absent,absent,rule,absent,rule,absent,absent,rule,rule,rule_no_locator,rule_no_locator
S63,greenhouse_microclimate,none_stated,not_stated,mixed,"delay, it changes for greenhouse 1 from 5.96 ms",packet loss and no over-delayed packets,none_monitoring_only,time_triggered,cloud,not_reported,not_reported,mW,simulation_only,none,primary_study,9,rule,absent,absent,rule,rule,rule,rule,rule,rule,absent,absent,rule,rule,rule_no_locator,rule_no_locator
S66,not_stated,higher_order,not_stated,ZigBee_802154,not_reported,"packet loss in both sensing and actuating links, respectively",MPC,not_stated,not_stated,settling time with the larger overshot due to the poor feedback delay and,not_reported,energy consumption [ 18 ],simulation_only,none,primary_study,7,absent,rule,absent,rule,absent,rule,rule,absent,absent,rule,absent,rule,rule,rule_no_locator,rule_no_locator
S67,irrigation_outdoor,data_driven,not_stated,LoRa_LoRaWAN,not_reported,not_reported,none_monitoring_only,not_stated,cloud,RMSE (Root Mean Squared Error) and the MAE (Mean Absolute Error),not_reported,not_reported,simulation_only,within_model_comparison,primary_study,7,rule,rule,absent,rule,absent,absent,adjudicated,absent,rule,rule,absent,absent,rule_no_locator,rule,rule_no_locator
