record_id,field,value,coding_basis,locator,quote,rule_error
S06,e1_control_quality,water savings over manual alternate wetting and drying,rule,sec. Abstract,water savings over manual alternate wetting and drying,
S06,evidence_type,field_deployment,rule,sec. Abstract,osts by 25% and moderately enhanced rice yields by 2-11%. This pilot was the first to demonstrate in a large-scale open-field trial that it is feasible and beneficial for smallholder farmers to apply cutting-edge Interne,
S06,comparator_present,concurrent_experimental,rule,sec. 43 Page 4 of 9 Agron. Sustain. Dev. (2021) 41: 4; p.4/9,al leveled) (manual leveled) Autonomous water access Yes No Yes Experimental trial 1: winter-spring 2017 crop season Control treatment None 1 plot (0.3 ha) None Man. AWD treatment None 1 plot (0.3 ha) None IoT AWD treatm,
S06,article_type_flag,primary_study,rule,body text (no structural marker),Agronomy for Sustainable Development (2021) 41: 43 https://doi.org/10.1007/s13593-021-00705-z RESEARCH ARTICLE Using the Internet of Things to promote alternate wetting and drying irrigation for rice in Vietnam’s Mekong ,
S07,p1_application,greenhouse_microclimate,rule,body text (no structural marker),"ure an adequate supply of fresh food for the growing global population. However, maintaining an optimal growing climate within a greenhouse requires resources and operational costs. To achieve economical and sustainable ",
S07,p2_dynamics_model,data_driven,rule,sec. 3 Computers and Electronics in Agriculture 215 (; Fig. 3,"RL agent is shown in Fig. 3, where the actor has the role of storing and applying the current best policy, using a deep neural network. According to the learned policy function, 𝜋(𝑠), and the system state 𝑠, the actor se",
S07,n1_protocol,none_no_network,rule,body text,no protocol term found in body text,
S07,c1_strategy,MPC,rule,body text (no structural marker),"and sustainable crop growth, efficient climate control in greenhouse production is paramount. Model Predictive Control (MPC) and Reinforcement Learning (RL) are the two approaches representing model-based and learning-ba",
S07,c3_architecture,simulation_only,rule,sec. 4.2. Specific MPC settings; Table 5/Fig. 6,"s over the prediction horizon. Table 5 details other settings that are used during this study. The open-source software CasADi (Andersson et al., 2019) and solver IPOPT (Wächter and Biegler, 2006) are employed in Matlab.",
S07,e3_energy,"energy consumption are considered as in (3), but",rule,sec. 3.2.1. Agent description,"energy consumption are considered as in (3), but",
S07,evidence_type,simulation_only,rule,body text (no structural marker),in a unified framework; (3) exploring the mathematical connections and differences between MPC and RL; (4) conducting a simulation study to analyze and compare the performance of MPC and RL; (5) presenting and interpreti,
S07,comparator_present,concurrent_experimental,rule,body text (no structural marker),"ardo Morcego a , Wenjie Yin a , Sjoerd Boersma b , Eldert van Henten c , Vicenç Puig a , Congcong Sun c ,∗ a Automatic Control Group (CS2AC), Universitat Politècnica de Catalunya, Spain b Biometris Group, Wageningen Univ",
S08,p1_application,greenhouse_microclimate,rule,sec. 1. Introduction,"ed to solve greenhouse control challenges [3,10,21]. However, MPC relies heavily on an accurate prediction model, while in a greenhouse prediction model there always exist uncertainties due to, e.g., modeling error and i",
S08,p2_dynamics_model,data_driven,rule,sec. 1 These authors contributed equally to this work,"ies is considered empirically, however no mechanism to compensate for the prediction error is introduced. In [19,20], a neural network is used as a prediction model, with a robust MPC controller addressing the prediction",
S08,n1_protocol,none_no_network,rule,body text,no protocol term found in body text,
S08,c1_strategy,MPC,rule,body text (no structural marker),"ural Technology journal homepage: www.journals.elsevier.com/smart-agricultural-technology Reinforcement learning-based model predictive control for greenhouse climate control Samuel Mallick a, ,∗,1 , Filippo Airaldi a, ,",
S08,c3_architecture,simulation_only,rule,sec. 5. Numerical experiments,sults can be found at https://github.com/SamuelMallick/mpcrl-greenhouse. All optimization problems are solved using the CasADi framework [2] and the IPOPT solver [31]. Assume that the values of all model parameters 𝑝 are,
S08,e1_control_quality,dry weight to total crop dry weight),rule,sec. 6. Conclusions,dry weight to total crop dry weight),
S08,e3_energy,energy consumption,rule,sec. 1. Introduction,energy consumption,
S08,evidence_type,simulation_only,rule,sec. 5. Numerical experiments,"based RL methods, i.e., DDPG, are run on the same Linux machine using four NVIDIA RTX 2090 GPUs. Python source code and simulation results can be found at https://github.com/SamuelMallick/mpcrl-greenhouse. All optimizati",
S08,comparator_present,within_model_comparison,rule,"sec. 1. To the best of the authors’ knowledge, a comb","odology outperforming existing controllers from the literature in both constraint satisfaction and eﬃcient crop growth. Compared to the state-of-the-art MPC formulations [4,8,19,20,27], instead of addressing uncertainty ",
S10,p1_application,greenhouse_microclimate,rule,"sec. 128 October, 2024","he relationship between greenhouse environmental control accuracy and energy consumption is one of the key issues faced in greenhouse research. In this study, a non-linear model predictive control method with an improved",
S10,p2_dynamics_model,data_driven,rule,"sec. 128 October, 2024",mize the objective evaluation. The nonlinear model predictive control (NMPC) controller design was based on the wavelet neural network (WNN) data-driven model and applied the interior point method to solve the optimal so,
S10,p3_time_constant,sampling interval was set to 5 min,rule,sec. Results and discussion,sampling interval was set to 5 min,
S10,n1_protocol,none_no_network,rule,body text,no protocol term found in body text,
S10,c1_strategy,MPC,rule,"sec. 128 October, 2024","jabe.org Vol. 17 No. 5 Predictive control for greenhouse temperature and humidity and energy optimization by improved NMPC objective function algorithm Lina Wang1,2,3, Ying Zhang1, Mengjie Xu1, Qiuhui Liu1, Binrui Wang1,",
S10,e1_control_quality,overshoot,rule,sec. 2.2.2 The improved NMPC controller design,overshoot,
S10,e3_energy,energy consumption,rule,"sec. 128 October, 2024",energy consumption,
S10,evidence_type,simulation_only,rule,"sec. 128 October, 2024","the objective function control, thus balancing the contradiction between energy consumption and control precision. The simulation results showed that the improved NMPC method reduced energy consumption by 21.02% and 9.54",
S10,comparator_present,within_model_comparison,rule,sec. 24 Continuous time comparison of total energy co; Fig. 6/Fig. 7,"nonlinear control, NMPC effectively reduced temperature and humidity fluctuations and brought lower energy consumption. Compared with MPC, the daytime consumption was reduced by 10.06%, and the nighttime consumption was ",
S13,p1_application,irrigation_outdoor,rule,sec. 1. Introduction; p.2/18,"ty is managed through a graphical interface, allowing the automation of irrigation using fuzzy logic compared to manual drip irrigation [13]. In rural areas, irrigation control is performed by comparing environmental par",
S13,p2_dynamics_model,higher_order,rule,sec. 2 Solar; p.8/18,"de ( PBC ) when the batteries are recharged, being part of the energy consumption. The first equality constraint is the energy balance, which is represented in Equation (12). The energy system needs to satisfy the energy",
S13,n1_protocol,none_no_network,rule,body text,no protocol term found in body text,
S13,c1_strategy,MPC,rule,body text (no structural marker),"lied sciences Article Smart Irrigation System Considering Optimal Energy Management Based on Model Predictive Control (MPC) Wilmer Quimbita , Edison Toapaxi and Jacqueline Llanos * Electrical and Electronic Department, U",
S13,c3_architecture,standalone_embedded,rule,sec. 1. Introduction,gy in some cases through embedded systems that concentrates on controlling the irrigation process automatically using a Raspberry Pi device through Python programming with the help of moisture sensors that monitor the so,
S13,e3_energy,energy consumption and optimizes,rule,sec. 1. Introduction,energy consumption and optimizes,
S16,p1_application,irrigation_outdoor,rule,Fig. 1/Fig. 2,"of 25 m × 100 m, as illustrated in Figure 1 . Each area contains approximately 45 productive trees watered with a micro-sprinkler irrigation system. The field is located in northern Mexico (Chihuahua city), which is an a",
S16,p2_dynamics_model,higher_order,rule,body text (no structural marker),nspiration is generally expressed in millimeters (mm) of water lost from a crop surfaced per unit of time (days). 2.1. State Space Model The hydrological balance model describes the dynamics of an irrigation system where,
S16,p3_time_constant,sampling period of 10 min,rule,body text (no structural marker),sampling period of 10 min,
S16,n1_protocol,ZigBee_802154,rule,Fig. 2,"there was one weather node and a single controller for the entire experimental field. The WSN was implemented over the IEEE 802.15.4 standard, which is the basis for the Zigbee communication protocol [ 41 ]. Zigbee has b",
S16,c1_strategy,STC_self_triggered,adjudicated,body text (no structural marker),Self-triggered control is an aperiodic sampling strategy capable of reducing the number of networked messages compared to traditional periodical sampling.,"First-match rule matched 'event-triggered' inside a comparative sentence that contrasts STC with ETC; the strategy implemented in this paper is self-triggered control, consistent with c2_trigger=self_triggered."
S16,c2_trigger,self_triggered,rule,body text (no structural marker),"s are battery-powered, and thus they have to manage energy constraints by implementing efficient communication schemas. Self-triggered control is an aperiodic sampling strategy capable of reducing the number of networked",
S16,c3_architecture,standalone_embedded,rule,body text (no structural marker),"USA) to calculate the reference evapotranspiration for the crop field. These three types of nodes were built upon the Arduino MKR board (Arduino, USA), which includes a 32-bit microprocessor and a 12-bit analog-to-digita",
S16,e1_control_quality,water savings while growing healthy crops,rule,body text (no structural marker),water savings while growing healthy crops,
S16,e2_network_resource,reduce the number of messages in the network by transmitting sensor data only when releva,rule,body text (no structural marker),reduce the number of messages in the network by transmitting sensor data only when releva,
S16,e3_energy,"power consumption up to 20%, while still accomplishing the system control obj",rule,body text (no structural marker),"power consumption up to 20%, while still accomplishing the system control obj",
S16,comparator_present,within_model_comparison,rule,body text (no structural marker),"schemas. Self-triggered control is an aperiodic sampling strategy capable of reducing the number of networked messages compared to traditional periodical sampling. In this paper, we propose an energy-efficient communicat",
S18,p1_application,ncs_generic_nonagricultural,rule,"sec. 153244 VOLUME 12, 2024; p.153244","tk + 1tk , k ∈ N0 with the new initial condition time. Section V illustrates the presented method for an x̄(0) = xk+1 . academic example as well as for a vertical take-off and landing (VTOL) aircraft model. The paper is ",
S18,p2_dynamics_model,nonlinear,rule,body text (no structural marker),"October 2024. Digital Object Identifier 10.1109/ACCESS.2024.3480522 A Sensitivity-Based Approach to Self-Triggered Nonlinear Model Predictive Control PAULINA CONRAD AND KNUT GRAICHEN , (Senior Member, IEEE) Chair of Auto",
S18,n1_protocol,none_no_network,rule,body text,no protocol term found in body text,
S18,c1_strategy,MPC,rule,body text (no structural marker),"as not been fully explored. This paper introduces a self-triggering mechanism for nonlinear Model Predictive Control (MPC), extending its application beyond networked systems. The method maximizes the sampling time while",
S18,c2_trigger,self_triggered,rule,body text (no structural marker),"rent version 28 October 2024. Digital Object Identifier 10.1109/ACCESS.2024.3480522 A Sensitivity-Based Approach to Self-Triggered Nonlinear Model Predictive Control PAULINA CONRAD AND KNUT GRAICHEN , (Senior Member, IEE",
S18,c3_architecture,simulation_only,rule,"sec. 153246 VOLUME 12, 2024; p.153246","he MPC problem (2) is solved by a gradient sensitivity term satisfies 0 < ∥∇J ∗ (xk )∥2 /J ∗ (xk ) < ∞ for method, e.g. GRAMPC [30], then the adjoint state is part ∥xk ∥ → 0. of the solution and therefore available witho",
S18,e1_control_quality,overshoot constant C ≥ 1 and decay rate γ > 0,rule,sec. II. PROBLEM STATEMENT; p.153244,overshoot constant C ≥ 1 and decay rate γ > 0,
S18,e2_network_resource,reducing the number of samples is pursued,rule,"sec. 153248 VOLUME 12, 2024; p.153248",reducing the number of samples is pursued,
S18,evidence_type,simulation_only,rule,sec. IV. EFFICIENT COMPUTATION OF SAMPLING TIME ≤ J ∗; p.153246; Fig. 1/Fig. 2,"t state λk := λ(0). In conclusion, the parameter c = 0.1. self-triggered optimization problem (18) becomes ∥λk ∥2 2 1) SIMULATION RESULTS 1tk = arg max 1t − c 1t (29a) Figure 1 shows the simulation results of the self-tr",
S18,comparator_present,within_model_comparison,rule,"sec. 153248 VOLUME 12, 2024; p.153248; Fig. 4/Table 1","for different noise levels the eigenvalues of the linearization about the stationary set- σ ∈ {0.15, 0.25, 0.35, 0.45} compared to classical MPC (i) points xdes , i = 1, . . . , 4 along with the stationary sampling with ",
S20,p3_time_constant,sampling period is set as T = 0.2s,rule,sec. 3 Interaction level,sampling period is set as T = 0.2s,
S20,n1_protocol,none_no_network,rule,body text,no protocol term found in body text,
S20,c1_strategy,MPC,rule,sec. 1 Self-Triggered Distributed Model Predictive Co,"Abstract—This paper investigates an aperiodic distributed communication delays. In [14], a rolling self-triggered DMPC model predictive control approach for multi-agent systems scheme is proposed to mitigate the mutual i",
S20,c2_trigger,self_triggered,rule,sec. 1 Self-Triggered Distributed Model Predictive Co,1 Self-Triggered Distributed Model Predictive Control with Synchronization Parameter Interaction Qianqian Chen Abstract—This paper investigates an aperiodic distributed,
S20,evidence_type,simulation_only,rule,sec. 1. The second condition on Lyapunov function dec; Fig. 2/Fig. 3,") = [0.1, 0.2, −0.1]T , show the efficiency of the proposed Algorithm 1. Consider the e3 (0) = [0.2, −0.2, −0.1]T . The simulation results under formation application for three nonholonomic wheeled mobile Algorithm 1 are",
S30,p2_dynamics_model,data_driven,rule,sec. I. I NTRODUCTION,"then K = ∞. where 1(.) is the indicator function. Also, the high-level policy Similar to [21], a fully connected deep neural network is on MH0 is defined as: used to construct function ΓC (S 0 [k], A0 [k]), which satisfi",
S30,n1_protocol,NB_IoT_cellular,rule,body text (no structural marker),"energy-efficient resource allocation in through periodic transmissions with a high data rate. It, a fifth generation (5G) wireless network. We formally state however, comes at the cost of a higher packet loss rate due th",
S30,n3_packet_loss,packet loss rate due,rule,body text (no structural marker),packet loss rate due,
S30,c1_strategy,RL_ML,rule,body text (no structural marker),"t classes of ETC strategies; see [7, 8] and the references Index Terms—industrial cyber-physical system, hierarchical reinforcement learning, event-triggered control, power efficient therein. Besides, in this context, th",
S30,c2_trigger,event_triggered,rule,body text (no structural marker),"1 A Learning Approach for Joint Design of Event-triggered Control and Power-Efficient Resource Allocation Atefeh. Termehchi, and Mehdi. Rasti, Senior Member, IEEE arXiv:2205.07070v1 [eess.SY] 14 May 2022 Abstra",
S30,c3_architecture,simulation_only,rule,sec. 11 Optimize πθL0 (update parameter θL0,"DAC to a disjoint and model-based method, as gn,j [k] = hd−3 n [k], where dn [k] is the distance between we use Matlab/Simulink applying a linear model of Cart-Pole user n and the BS as well as h = 0.09 is the loss facto",
S30,e1_control_quality,tracking error,rule,body text (no structural marker),tracking error,
S30,e3_energy,power consumption in the downlink transmission,rule,body text (no structural marker),power consumption in the downlink transmission,
S30,evidence_type,simulation_only,rule,body text (no structural marker),ficient sub-carrier and power allocation based on a predefined event instead of a periodic transmission. policies. Our simulation results show that the proposed approach This event is characterized according to the stabi,
S34,p1_application,greenhouse_microclimate,rule,"sec. I. Introduction mixing control systems, which re; Table 1","tudy, used to receive sensor data transmitted by sensor nodes the logic used is IF-AND logic. There are nine rules from within the greenhouse and then input into the used in this inference process, as presented in Table ",
S34,n1_protocol,WiFi,rule,"sec. I. Introduction mixing control systems, which re","ble parameters. This node comprises several water zone with a mean absolute percentage error components, such as the ESP32 as the value of less than 5 %. microcontroller, a capacitive-based moisture C. Conceptual design ",
S34,c1_strategy,Fuzzy,rule,body text (no structural marker),"87-3379 mev.brin.go.id Design and performance of nutrient dosing control system for hydroponic chilli plant using fuzzy logic controller Haryo Prastono a, *, Mohamad Solahudin b, Supriyanto b a Research Center for Equipm",
S34,c3_architecture,standalone_embedded,rule,"sec. I. Introduction mixing control systems, which re","veral water zone with a mean absolute percentage error components, such as the ESP32 as the value of less than 5 %. microcontroller, a capacitive-based moisture C. Conceptual design sensor for reading the moisture value ",
S34,evidence_type,lab_prototype_or_HIL,rule,"sec. I. Introduction mixing control systems, which re","rol systems, was conducted by Salih [14]. In their nutrient solution [4]. The third method, a combination research, the prototype was designed to control the of these two, yields an on-off-based nutrient mixing nutrient ",
S35,p1_application,greenhouse_microclimate,rule,body text (no structural marker),"costs as ranchers can locate their cattle with the help of IoT-based sensors [14, 15]. Smart greenhouse Growing plants in a greenhouse is a method to help improve the yield of vegetables, fruits, and crops. Greenhouses c",
S35,p2_dynamics_model,data_driven,rule,body text (no structural marker),"improve crop management practices, and detect anomalies or diseases at an early stage. Consequently, farmers can make data-driven decisions to optimize yields, reduce waste, and enhance overall crop quality. The benefits",
S35,n1_protocol,WiFi,rule,sec. 3.2 Construction of our smart greenhouse,"hed within the smart greenhouse to enable seamless communication and control. Wireless com- munication protocols like Wi-Fi, Bluetooth, or Zigbee connect sensors, automation systems, and the central control system. This ",
S35,c1_strategy,Fuzzy,rule,sec. 2 Related work,"cussed. The collected data is transmitted to farmers through IoT and wireless communication, while the system utilizes fuzzy logic for regulating factors like heating, cooling, and humidity inside the greenhouse. Rubanga",
S35,c2_trigger,manual_remote,rule,sec. 3.1 Irrigation control system,manual intervention becomes necessary when the system encounters technical errors or requires maintenance. Users can manually control the following functions: • Irrigation Management: Users can adjust the pump settings t,
S35,c3_architecture,cloud,rule,body text (no structural marker),n- mental parameters required by the plant to control the environment in an intelligent green- house. We can create a cloud server for remote access to the system when connecting to IoT [16–19]. The convergence of IoT te,
S35,e3_energy,energy consumption while maintaining the,rule,sec. 2 Related work,energy consumption while maintaining the,
S35,evidence_type,lab_prototype_or_HIL,rule,sec. 2 Related work,"tabase for real-time data collection and monitoring of crop environments. Additionally, Kurniawan [38] has presented a prototype control and monitoring system for smart green- houses employing fuzzy logic. Finally, Ahmed",
S35,article_type_flag,primary_study,rule,body text (no structural marker),"PLOS ONE RESEARCH ARTICLE Smart greenhouse construction and irrigation control system for optimal Brassica Juncea development Hiep Xuan Huynh ID1*, Linh Nhut Tran2, Nghia Duong-Tru",
S36,p1_application,irrigation_outdoor,rule,body text (no structural marker),) 106(2):373–395 https://doi.org/10.1007/s40030-024-00857-7 ORIGINAL CONTRIBUTION Design and Development of IoT Smart Drip Irrigation and Fertigation Prototype for Small and Medium Scale Farmers. Acase Study of Tomato Fa,
S36,p2_dynamics_model,data_driven,rule,sec. Results and Discussion; Fig. 14/Fig. 18,"y components in its development. The programming environment include Visual Studio, leveraging the power of Convolution Neural Network (CNN) for Artificial Intelligent (AI) capabilities. The logic of the software was imp",
S36,p3_time_constant,time constant (𝜏) of 10µs,rule,sec. 2 PDisipation = Imax,time constant (𝜏) of 10µs,
S36,n1_protocol,WiFi,rule,sec. 375 Fig. 1 System design model; Fig. 3/Fig. 2,"t Connection Yellow and Blue wire is to be connected with RS485 pins A and B. RS485 VCC pin is connected with 3.3V from ESP32, and the GND pin to the ground The red wire is to be connected to Power supply. Black wire to ",
S36,c1_strategy,on_off_threshold,adjudicated,sec. Functionality Tests; printed p.388,the system was expected to activate the irrigation pump when soil moisture dropped below the set threshold,Strategy probe found no named controller; actuation is described as set-point/threshold switching of pump and fertiliser.
S36,c3_architecture,cloud,rule,sec. 75.33 Fig. 29 Setting up DataStream on Blynk IoT; Table 1/Fig. 29,(simulations) 3 Farm soil value (field) Average Moisture (%) NPK (%) 80 81 65 75.33 Fig. 29 Setting up DataStream on Blynk IoT Fig. 30 Setting up IoT interface for data visualization 40 43 40 41 fertilizer to be 43% as c,
S36,e3_energy,power Consumption Compare to higher version of Raspberry as shown in Fig,rule,sec. 1. Cost-effective compared to Raspberry Pi 4; Fig. 6,power Consumption Compare to higher version of Raspberry as shown in Fig,
S36,evidence_type,lab_prototype_or_HIL,rule,body text (no structural marker),/10.1007/s40030-024-00857-7 ORIGINAL CONTRIBUTION Design and Development of IoT Smart Drip Irrigation and Fertigation Prototype for Small and Medium Scale Farmers. Acase Study of Tomato Farmers in Tanzania Daniel H. Ngom,
S38,p1_application,irrigation_outdoor,rule,sec. 1. Introduction; p.3/18,"example can be found in [24], where the authors proposed an FL controller and compared its performance with manual and drip irrigation methods. Their approach achieved a reduction in water consumption of 18% and 7%, resp",
S38,p2_dynamics_model,data_driven,rule,sec. 1. Introduction; p.3/18,"temperature, soil moisture, relative humidity, lighting monitoring, and remote on/off control. In [7], a fuzzy-stranded-neural network model detected downy mildew in viticulture early and successfully. In [23], the FL te",
S38,n1_protocol,LoRa_LoRaWAN,rule,sec. 2.3. LoRa 868 MHz-Based Wireless Communication; p.6/18; Fig. 3,"he introduction of Industry 4.0, different wireless technologies have been adopted, such as ZigBee, Bluetooth, LoRa and LoRaWAN, ISA 100.11a, WirelessHART, and WIA-PA. Most of them are based on the IEEE 802.15.4 standard",
S38,c1_strategy,Fuzzy,rule,body text (no structural marker),"electronics Article Smart IoT Irrigation System Based on Fuzzy Logic, LoRa, and Cloud Integration Eneko Artetxe * , Oscar Barambones * , Imanol Martín Toral and Asier del Rio , Jokin Uralde , Isidro Calvo System Engineer",
S38,c3_architecture,cloud,rule,body text (no structural marker),"te moisture level in the soil. The control algorithm, based on fuzzy logic, can use the weather forecast, obtained as a cloud service, to reduce water consumption. For testing purposes, the dynamics of the water balance ",
S38,e1_control_quality,overshoot the VWC in that minute in order to avoid water waste,rule,sec. 1 Negative; p.8/18; Table 2,overshoot the VWC in that minute in order to avoid water waste,
S38,e3_energy,power consumption,rule,sec. 2.3. LoRa 868 MHz-Based Wireless Communication; p.6/18,power consumption,
S38,evidence_type,lab_prototype_or_HIL,rule,sec. 1. Introduction; p.3/18,lds and industries to reduce the validation time for control schemes and to avoid possible damages in real plants [26]. Hardware-in-the-loop (HiL) testing stands out as a popular technique for developing and commissionin,
S38,comparator_present,concurrent_experimental,rule,sec. 1. Introduction; p.2/18,ted irrigation control for marigold flowers using LoRa. Their work demonstrated that the yield increased by 66.78% when compared with manual irrigation. Fuzzy logic (FL) allows making decisions based on imprecise and non,
S38,article_type_flag,primary_study,rule,body text (no structural marker),"electronics Article Smart IoT Irrigation System Based on Fuzzy Logic, LoRa, and Cloud Integration Eneko Artetxe * , Oscar Barambones * , Imanol Martín Toral and Asier del Rio , J",
S40,p1_application,greenhouse_microclimate,rule,body text (no structural marker),"System Design of Online Monitoring and Controlling System Based on Zigbee in Greenhouse Fengmei Li, Yaoguang Wei, Yingyi Chen, Xu Zhang To cite this version: Fengmei Li, Yaoguang Wei, Yingyi Chen, Xu Zhang. System Design",
S40,n1_protocol,ZigBee_802154,rule,body text (no structural marker),"System Design of Online Monitoring and Controlling System Based on Zigbee in Greenhouse Fengmei Li, Yaoguang Wei, Yingyi Chen, Xu Zhang To cite this version: Fengmei Li, Yaoguang Wei, Yingyi Chen, Xu Zhang. System Design",
