raw_id,source_channel,query_id,title,year,authors,venue,doi,url,abstract,raw_status,dedupe_status,pnce_status,exclusion_reason,match_score
RAW017,existing_core68,CORE68,Self-triggered Control with Energy Harvesting Sensor Nodes,2023,,ACM Transactions on Cyber-Physical Systems,10.1145/3597311,https://doi.org/10.1145/3597311,,identified,unique,included_core,verified_core68_prior_audit,
RAW018,existing_core68,CORE68,A Sensitivity-Based Approach to Self-Triggered Nonlinear Model Predictive Control,2024,,IEEE Access,10.1109/access.2024.3480522,https://doi.org/10.1109/access.2024.3480522,,identified,unique,included_core,verified_core68_prior_audit,
RAW019,existing_core68,CORE68,Self-Triggered DMPC for Dynamically Coupled Systems With Reduced Conservatism,2025,,IEEE Transactions on Industrial Informatics,10.1109/tii.2025.3593862,https://doi.org/10.1109/tii.2025.3593862,,identified,unique,included_core,verified_core68_prior_audit,
RAW020,existing_core68,CORE68,Self-Triggered Distributed Model Predictive Control with Synchronization Parameters Interaction,2024,,arXiv (Cornell University),10.48550/arxiv.2405.11006,https://doi.org/10.48550/arxiv.2405.11006,,identified,unique,included_core,verified_core68_prior_audit,
RAW021,existing_core68,CORE68,Event-Based Sensor Data Scheduling: Trade-Off Between Communication Rate and Estimation Quality,2013,,IEEE Transactions on Automatic Control,10.1109/tac.2012.2215253,https://doi.org/10.1109/tac.2012.2215253,,identified,unique,included_core,verified_core68_prior_audit,
RAW022,existing_core68,CORE68,A survey on recent advances in event-triggered communication and control,2018,,Information Sciences,,,,identified,unique,included_core,verified_core68_prior_audit,
RAW023,existing_core68,CORE68,Data-driven-based fully distributed event-triggered control for nonlinear multi-agent systems,2025,,Applied Mathematics and Computation,10.1016/j.amc.2025.129307,https://doi.org/10.1016/j.amc.2025.129307,,identified,unique,included_core,verified_core68_prior_audit,
RAW024,existing_core68,CORE68,Event-Triggered Distributed Optimal Bipartite Consensus Control for Multi-Agent Systems via Adaptive Dynamic Programming,2025,,"2025 10th International Conference on Control, Robotics and Cybernetics (CRC)",10.1109/crc67523.2025.11288265,https://doi.org/10.1109/crc67523.2025.11288265,,identified,unique,included_core,verified_core68_prior_audit,
RAW025,existing_core68,CORE68,Disturbance Rejection Self-Triggered Distributed MPC With Adaptive Prediction Horizon for Asynchronous Multiagent Systems,2024,,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",10.1109/tsmc.2024.3350157,https://doi.org/10.1109/tsmc.2024.3350157,,identified,unique,included_core,verified_core68_prior_audit,
RAW026,existing_core68,CORE68,Semi–Global Exponential Stabilization of Nonlinear Time–Delay Systems via Sampled–Data Event–Triggered Controllers,2025,,2025 IEEE 64th Conference on Decision and Control (CDC),10.1109/cdc57313.2025.11312052,https://doi.org/10.1109/cdc57313.2025.11312052,,identified,unique,included_core,verified_core68_prior_audit,
RAW027,existing_core68,CORE68,Observer-based AE-T cooperative DMPC for a class of interconnected nonlinear systems with time delay and unmodeled dynamics,2025,,International Journal of Systems Science,10.1080/00207721.2025.2467224,https://doi.org/10.1080/00207721.2025.2467224,,identified,unique,included_core,verified_core68_prior_audit,
RAW028,existing_core68,CORE68,The event-triggered sampling optimization criterion for distributed networked monitoring and control systems,,,"IEEE International Conference on Industrial Technology, 2003",10.1109/icit.2003.1290814,https://doi.org/10.1109/icit.2003.1290814,,identified,unique,included_core,verified_core68_prior_audit,
RAW029,existing_core68,CORE68,Stability of output event-based control systems through quadratic trigger functions,2015,,2015 IEEE 20th Conference on Emerging Technologies &amp; Factory Automation (ETFA),10.1109/etfa.2015.7301402,https://doi.org/10.1109/etfa.2015.7301402,,identified,unique,included_core,verified_core68_prior_audit,
RAW030,existing_core68,CORE68,A Learning Approach for Joint Design of Event-Triggered Control and Power-Efficient Resource Allocation,2022,,IEEE Transactions on Vehicular Technology,10.1109/tvt.2022.3159739,https://doi.org/10.1109/tvt.2022.3159739,,identified,unique,included_core,verified_core68_prior_audit,
RAW031,existing_core68,CORE68,Intelligent Condensation Irrigation System Based on Internet of Things,2023,,"2023 5th International Conference on Intelligent Control, Measurement and Signal Processing (ICMSP)",10.1109/icmsp58539.2023.10170873,https://doi.org/10.1109/icmsp58539.2023.10170873,,identified,unique,included_core,verified_core68_prior_audit,
RAW032,existing_core68,CORE68,"Control, And Monitoring System Design Cultivation of Lettude Using Method Aeroponics Based on Smart Farming",2025,,"2025 19th International Conference on Telecommunication Systems, Services, and Applications (TSSA)",10.1109/tssa68467.2025.11303843,https://doi.org/10.1109/tssa68467.2025.11303843,,identified,unique,included_core,verified_core68_prior_audit,
RAW033,existing_core68,CORE68,"Control, And Monitoring System Design Cultivation of Lettude Using Method Aeroponics Based on Smart Farming",2025,,"2025 19th International Conference on Telecommunication Systems, Services, and Applications (TSSA)",10.1109/tssa68467.2025.11303843,https://doi.org/10.1109/tssa68467.2025.11303843,,identified,duplicate,included_core,D01_duplicate_of_RAW032,
RAW034,existing_core68,CORE68,Design and performance of nutrient dosing control system for hydroponic chilli plant using fuzzy logic controller,2025,,"Journal of Mechatronics, Electrical Power, and Vehicular Technology",10.55981/j.mev.2025.910,https://doi.org/10.55981/j.mev.2025.910,,identified,unique,included_core,verified_core68_prior_audit,
RAW035,existing_core68,CORE68,Smart greenhouse construction and irrigation control system for optimal Brassica Juncea development,2023,,Plos one,10.1371/journal.pone.0292971,https://doi.org/10.1371/journal.pone.0292971,,identified,unique,included_core,verified_core68_prior_audit,
RAW036,existing_core68,CORE68,Design and Development of IoT Smart Drip Irrigation and Fertigation Prototype for Small and Medium Scale Farmers. Acase Study of Tomato Farmers in Tanzania,2025,,Journal of The Institution of Engineers (India): Series A,10.1007/s40030-024-00857-7,https://doi.org/10.1007/s40030-024-00857-7,,identified,unique,included_core,verified_core68_prior_audit,
RAW037,existing_core68,CORE68,IoT-Enabled Adaptive Watering System With ARIMA-Based Soil Moisture Prediction for Smart Agriculture,2025,,IEEE Access,10.1109/access.2025.3532447,https://doi.org/10.1109/access.2025.3532447,,identified,unique,included_core,verified_core68_prior_audit,
RAW038,existing_core68,CORE68,"Smart IoT Irrigation System Based on Fuzzy Logic, LoRa, and Cloud Integration",2024,,Electronics,10.3390/electronics13101949,https://doi.org/10.3390/electronics13101949,,identified,unique,included_core,verified_core68_prior_audit,
RAW039,existing_core68,CORE68,Evaluation of event-based irrigation system control scheme for tomato crops in greenhouses,2017,,Agricultural Water Management,10.1016/j.agwat.2016.08.008,https://doi.org/10.1016/j.agwat.2016.08.008,,identified,unique,included_core,verified_core68_prior_audit,
RAW040,existing_core68,CORE68,System Design of Online Monitoring and Controlling System Based on Zigbee in Greenhouse,2015,,IFIP Advances in Information and Communication Technology,10.1007/978-3-319-19620-6_76,https://doi.org/10.1007/978-3-319-19620-6_76,,identified,unique,included_core,verified_core68_prior_audit,
RAW041,existing_core68,CORE68,Research on Precision Paddy Field Irrigation Control Technology Based on Multi-Source Sensing Hybrid Model,2025,,Digital Intelligence in Agriculture,10.62762/dia.2025.680966,https://doi.org/10.62762/dia.2025.680966,,identified,unique,included_core,verified_core68_prior_audit,
RAW042,existing_core68,CORE68,Sustainable Smart Irrigation System (SIS) using solar PV with rainwater harvesting technique for indoor plants,2025,,PLOS ONE,10.1371/journal.pone.0316911,https://doi.org/10.1371/journal.pone.0316911,,identified,unique,included_core,verified_core68_prior_audit,
RAW043,existing_core68,CORE68,A Solar-Powered Fertigation System Based on Low-Cost Wireless Sensor Network Remotely Controlled by Farmer for Irrigation Cycles and Crops Growth Optimization,2020,,International Journal of Electronics and Telecommunications,10.24425/ijet.2019.130266,https://doi.org/10.24425/ijet.2019.130266,,identified,unique,included_core,verified_core68_prior_audit,
RAW044,existing_core68,CORE68,Design and Implementation of an Autonomous Intelligent Fertigation System for Cross-Regional Applications,2025,,Actuators,10.3390/act14090413,https://doi.org/10.3390/act14090413,,identified,unique,included_core,verified_core68_prior_audit,
RAW045,existing_core68,CORE68,Research and Development of an IoT Smart Irrigation System for Farmland Based on LoRa and Edge Computing,2025,,Agronomy,10.3390/agronomy15020366,https://doi.org/10.3390/agronomy15020366,,identified,unique,included_core,verified_core68_prior_audit,
RAW046,existing_core68,CORE68,Leveraging LoRaWAN technology for precision agriculture in greenhouses,2020,,Sensors,10.3390/s20071827,https://doi.org/10.3390/s20071827,,identified,unique,included_core,verified_core68_prior_audit,
RAW047,existing_core68,CORE68,"Hybrid LoRaWAN–MQTT Architecture for Portable Smart Greenhouses: Cross-Layer Validation of Latency, Energy, and ADMR Trade-Offs",2025,,IEEE Access,10.1109/access.2025.3643617,https://doi.org/10.1109/access.2025.3643617,,identified,unique,included_core,verified_core68_prior_audit,
RAW048,existing_core68,CORE68,LoRa-Based Smart Agriculture Monitoring and Automatic Irrigation System,2025,,Journal of Computer and Communications,10.4236/jcc.2025.133001,https://doi.org/10.4236/jcc.2025.133001,,identified,unique,included_core,verified_core68_prior_audit,
RAW049,existing_core68,CORE68,Wireless sensor networks for greenhouse climate and plant condition assessment,2017,,Biosystems engineering,10.1016/j.biosystemseng.2016.11.005,https://doi.org/10.1016/j.biosystemseng.2016.11.005,,identified,unique,included_core,verified_core68_prior_audit,
RAW050,existing_core68,CORE68,WIRELESS SENSOR NETWORK BASED REMOTE DRIP IRRIGATION SYSTEM,2018,,Mühendislik Bilimleri ve Tasarım Dergisi,10.21923/jesd.443576,https://doi.org/10.21923/jesd.443576,,identified,unique,included_core,verified_core68_prior_audit,
RAW051,existing_core68,CORE68,IoT Based Smart Automated Agriculture and Real Time Monitoring System,2021,,2021 2nd International Conference on Smart Electronics and Communication (ICOSEC),10.1109/icosec51865.2021.9591855,https://doi.org/10.1109/icosec51865.2021.9591855,,identified,unique,included_core,verified_core68_prior_audit,
RAW052,existing_core68,CORE68,"Design, Implementation, and Empirical Validation of an IoT Smart Irrigation System for Fog Computing Applications Based on LoRa and LoRaWAN Sensor Nodes",2020,,Sensors,10.3390/s20236865,https://doi.org/10.3390/s20236865,,identified,unique,included_core,verified_core68_prior_audit,
RAW053,existing_core68,CORE68,Research and Development of an IoT Smart Irrigation System for Farmland Based on LoRa and Edge Computing,2025,,Agronomy,10.3390/agronomy15020366,https://doi.org/10.3390/agronomy15020366,,identified,duplicate,included_core,D01_duplicate_of_RAW045,
RAW054,existing_core68,CORE68,"Hybrid LoRaWAN–MQTT Architecture for Portable Smart Greenhouses: Cross-Layer Validation of Latency, Energy, and ADMR Trade-Offs",2025,,IEEE Access,10.1109/access.2025.3643617,https://doi.org/10.1109/access.2025.3643617,,identified,duplicate,included_core,D01_duplicate_of_RAW047,
RAW055,existing_core68,CORE68,Design of IoT Monitoring System Based on LoRaWAN Architecture for Smart Green House,2022,,IOP Conference Series: Earth and Environmental Science,10.1088/1755-1315/1012/1/012090,https://doi.org/10.1088/1755-1315/1012/1/012090,,identified,unique,included_core,verified_core68_prior_audit,
RAW056,existing_core68,CORE68,Research and Design of Greenhouse Environment Monitoring System Based on NB-IoT,2021,,2021 33rd Chinese Control and Decision Conference (CCDC),10.1109/ccdc52312.2021.9601377,https://doi.org/10.1109/ccdc52312.2021.9601377,,identified,unique,included_core,verified_core68_prior_audit,
RAW057,existing_core68,CORE68,Smart Agriculture: Automated Controlled Monitoring System using Internet of Things,2019,,International Journal of Recent Technology and Engineering (IJRTE),10.35940/ijrte.c6538.098319,https://doi.org/10.35940/ijrte.c6538.098319,,identified,unique,included_core,verified_core68_prior_audit,
RAW058,existing_core68,CORE68,Wireless sensor network to identify the reduction of meteorological gradients in greenhouse in subtropical conditions,2020,,Journal of Agricultural Engineering,10.4081/jae.2020.1105,https://doi.org/10.4081/jae.2020.1105,,identified,unique,included_core,verified_core68_prior_audit,
RAW059,existing_core68,CORE68,Smart Water Management Platform: IoT-Based Precision Irrigation for Agriculture,2019,,Sensors,10.3390/s19020276,https://doi.org/10.3390/s19020276,,identified,unique,included_core,verified_core68_prior_audit,
RAW060,existing_core68,CORE68,Monitoring Citrus Soil Moisture and Nutrients Using an IoT Based System,2017,,Sensors,10.3390/s17030447,https://doi.org/10.3390/s17030447,,identified,unique,included_core,verified_core68_prior_audit,
RAW061,existing_core68,CORE68,Using a Novel Wireless-Networked Decentralized Control Scheme under Unpredictable Environmental Conditions,2015,,Sensors,10.3390/s151128690,https://doi.org/10.3390/s151128690,,identified,unique,included_core,verified_core68_prior_audit,
RAW062,existing_core68,CORE68,A High Availability Networked Control System Architecture for Precision Agriculture,2018,,2018 International Conference on Computer and Applications (ICCA),10.1109/comapp.2018.8460420,https://doi.org/10.1109/comapp.2018.8460420,,identified,unique,included_core,verified_core68_prior_audit,
RAW063,existing_core68,CORE68,A layered IoT architecture for greenhouse monitoring and remote control,2019,,SN Applied Sciences,10.1007/s42452-019-0227-8,https://doi.org/10.1007/s42452-019-0227-8,,identified,unique,included_core,verified_core68_prior_audit,
RAW064,existing_core68,CORE68,Context-aware control and monitoring system with IoT and cloud support,2019,,Computers and Electronics in Agriculture,10.1016/j.compag.2019.03.005,https://doi.org/10.1016/j.compag.2019.03.005,,identified,unique,included_core,verified_core68_prior_audit,
RAW065,existing_core68,CORE68,"Stability analysis for networked control systems with sampling, transmission protocols and input delays",2021,,Nonlinear Analysis: Hybrid Systems,10.1016/j.nahs.2020.100974,https://doi.org/10.1016/j.nahs.2020.100974,,identified,unique,included_core,verified_core68_prior_audit,
RAW066,existing_core68,CORE68,Robust Wireless Sensor and Actuator Networks for Networked Control Systems,2019,,Sensors,10.3390/s19071535,https://doi.org/10.3390/s19071535,,identified,unique,included_core,verified_core68_prior_audit,
RAW067,existing_core68,CORE68,Smart &amp; Green: An Internet-of-Things Framework for Smart Irrigation,2019,,Sensors,10.3390/s20010190,https://doi.org/10.3390/s20010190,,identified,unique,included_core,verified_core68_prior_audit,
RAW068,existing_core68,CORE68,Smart greenhouse construction and irrigation control system for optimal Brassica Juncea development,2023,,PLOS ONE,10.1371/journal.pone.0292971,https://doi.org/10.1371/journal.pone.0292971,,identified,duplicate,included_core,D01_duplicate_of_RAW035,
RAW069,OpenAlex,Q1,Renewable Energy Integration Into Cloud &amp; IoT-Based Smart Agriculture,2021,Bouali Et-taibi; Mohamed Riduan Abid; El‐Mahjoub Boufounas; Tareq Abu Hamed; Driss Benhaddou,IEEE Access,10.1109/access.2021.3138160,https://doi.org/10.1109/access.2021.3138160,"Water is becoming scarcer. The unmonitored control and the extensive use of fossil fuel in water-table pumping for irrigation exacerbate global warming and harm the environment. Along with the rapid population growth and the concomitant increase in the demand for food, optimal usage of water-table and energy is becoming a must and indispensable for sustainable agriculture. In this context, Smart Agriculture (SA) is emerging as a promising field that leverages ICT (Information and Communication Technology) to optimize resources&#x2019; usage while enhancing crops&#x2019; yields. In this paper, we present an integral SA solution that leverages <i>cost-effectiveness</i>. Commercial solutions are costly and thus become impossible to adopt by small and medium farmers. Our solution revolves around three main axes: 1. Smart Water Metering promotes optimal usage and conservation of water-table (a.k.a., groundwater) via real-time data collection and monitoring using a Cloud-based IoT (Internet of Things) system; 2. Renewable-Energy integration promotes energy-efficient agriculture by reducing reliance on fossil fuels in water-table pumping, and 3. Smart Irrigation to promote good crops quality and quantity without harming the soil and the water-table ecosystems. Our solution has been deployed and tested in a real-world Smart Farm testbed. The results have shown that the adoption of our SA system reduces the amount of water consumption (with a traditional irrigation system) up to 71.8&#x0025;. Finally, our solution is <i>open-source</i> and can be easily adopted and adapted by other researchers to promote the setting of a dedicated Cloud-based platform for water-table usage, especially in arid and sub-Saharan countries.",identified,unique,candidate_core,,
RAW070,OpenAlex,Q1,Applications of Artificial Neural Networks in Greenhouse Technology and Overview for Smart Agriculture Development,2020,Axel Escamilla-García; Genaro M. Soto-Zarazúa; Manuel Toledano‐Ayala; Edgar A. Rivas-Araiza; Abraham Gastélum-Barrios,Applied Sciences,10.3390/app10113835,https://doi.org/10.3390/app10113835,"This article reviews the applications of artificial neural networks (ANNs) in greenhouse technology, and also presents how this type of model can be developed in the coming years by adapting to new technologies such as the internet of things (IoT) and machine learning (ML). Almost all the analyzed works use the feedforward architecture, while the recurrent and hybrid networks are little exploited in the various tasks of the greenhouses. Throughout the document, different network training techniques are presented, where the feasibility of using optimization models for the learning process is exposed. The advantages and disadvantages of neural networks (NNs) are observed in the different applications in greenhouses, from microclimate prediction, energy expenditure, to more specific tasks such as the control of carbon dioxide. The most important findings in this work can be used as guidelines for developers of smart protected agriculture technology, in which systems involve technologies 4.0.",identified,unique,exclude,R02_wrong_document_type_or_domain,
RAW071,OpenAlex,Q1,"IoT Vulnerability Assessment for Sustainable Computing: Threats, Current Solutions, and Open Challenges",2020,Pooja Anand; Yashwant Singh; Arvind Selwal; Mamoun Alazab; Sudeep Tanwar; Neeraj Kumar,IEEE Access,10.1109/access.2020.3022842,https://doi.org/10.1109/access.2020.3022842,"Over the last few decades, sustainable computing has been widely used in areas like social computing, artificial intelligence-based agent systems, mobile computing, and Internet of Things (IoT). There are social, economic, and commercial impacts of IoT on human lives. However, IoT nodes are generally power-constrained with data transmission using an open channel, i.e., Internet which opens the gates for various types of attacks on them. In this context, several efforts are initiated to deal with the evolving security issues in IoT systems and make them self-sufficient to harvest energy for smooth functioning. Motivated by these facts, in this paper, we explore the evolving vulnerabilities in IoT devices. We provide a state-of-the-art survey that addresses multiple dimensions of the IoT realm. Moreover, we provide a general overview of IoT, Sustainable IoT, its architecture, and the Internet Engineering Task Force (IETF) protocol suite. Subsequently, we explore the open-source tools and datasets for the proliferation in research and growth of IoT. A detailed taxonomy of attacks associated with various vulnerabilities is also presented in the text. Then we have specifically focused on the IoT Vulnerability Assessment techniques followed by a case study on sustainability of Smart Agriculture. Finally, this paper outlines the emerging challenges related to IoT and its sustainability, and opening the doors for the beginners to start research in this promising area.",identified,unique,exclude,R02_wrong_document_type_or_domain,
RAW072,OpenAlex,Q1,A comprehensive survey on digital twin for future networks and emerging Internet of Things industry,2024,Akram Hakiri; Aniruddha Gokhale; Sadok Ben Yahia; Nédra Mellouli,Computer Networks,10.1016/j.comnet.2024.110350,https://doi.org/10.1016/j.comnet.2024.110350,,identified,unique,exclude,R02_wrong_document_type_or_domain,
RAW073,OpenAlex,Q1,A Survey on Trustworthiness for the Internet of Things,2021,Franklin Magalhães Ribeiro; Carlos Kamienski,IEEE Access,10.1109/access.2021.3066457,https://doi.org/10.1109/access.2021.3066457,"IoT systems use sensors to collect data from smart environments and manage resources through data analysis. An IoT system deals with many connected devices with different network and hardware constraints in a real-world scenario. An IoT system needs to handle low-latency data analysis, security threats, internal vulnerabilities, and network disconnections, which cause data loss and incorrect decisions. Trustworthiness (also known as dependability) provides various features for an IoT end-to-end data flow, such as resilience, security, availability, reliability, scalability, maintainability, heterogeneity, hardware resources management, fault management policies, and data quality. This paper presents a survey on trustworthiness and dependability in IoT systems and proposes the Trustworthiness for IoT Framework (TW-IoT) to provide trustworthiness at the data level for mist and fog-based IoT systems. The TW-IoT framework provides data trustworthiness to ensure a continuous and uninterrupted operation of IoT data flow. We also discuss challenges and trade-offs related to data trustworthiness in IoT.",identified,unique,exclude,R02_wrong_document_type_or_domain,
RAW074,OpenAlex,Q1,"Sustainable Water Management in Horticulture: Problems, Premises, and Promises",2024,Carla Ferreira; Pedro R. Soares; Rosa Guilherme; Giuliano Vitali; Anne‐Karine Boulet; Matthew Tom Harrison,Horticulturae,10.3390/horticulturae10090951,https://doi.org/10.3390/horticulturae10090951,"Water is crucial for enduring horticultural productivity, but high water-use requirements and declining water supplies with the changing climate challenge economic viability, environmental sustainability, and social justice. While the scholarly literature pertaining to water management in horticulture abounds, knowledge of practices and technologies that optimize water use is scarce. Here, we review the scientific literature relating to water requirements for horticulture crops, impacts on water resources, and opportunities for improving water- and transpiration-use efficiency. We find that water requirements of horticultural crops vary widely, depending on crop type, development stage, and agroecological region, but investigations hitherto have primarily been superficial. Expansion of the horticulture sector has depleted and polluted water resources via overextraction and agrochemical contamination, but the extent and significance of such issues are not well quantified. We contend that innovative management practices and irrigation technologies can improve tactical water management and mitigate environmental impacts. Nature-based solutions in horticulture—mulching, organic amendments, hydrogels, and the like—alleviate irrigation needs, but information relating to their effectiveness across production systems and agroecological regions is limited. Novel and recycled water sources (e.g., treated wastewater, desalination) would seem promising avenues for reducing dependence on natural water resources, but such sources have detrimental environmental and human health trade-offs if not well managed. Irrigation practices including partial root-zone drying and regulated deficit irrigation evoke remarkable improvements in water use efficiency, but require significant experience for efficient implementation. More advanced applications, including IoT and AI (e.g., sensors, big data, data analytics, digital twins), have demonstrable potential in supporting smart irrigation (focused on scheduling) and precision irrigation (improving spatial distribution). While adoption of technologies and practices that improve sustainability is increasing, their application within the horticultural industry as a whole remains in its infancy. Further research, development, and extension is called for to enable successful adaptation to climate change, sustainably intensify food security, and align with other Sustainable Development Goals.",identified,unique,exclude,R02_wrong_document_type_or_domain,
RAW075,OpenAlex,Q1,Dimensions of Internet of Things: Technological Taxonomy Architecture Applications and Open Challenges—A Systematic Review,2022,Krishna Kumar; Aman Kumar; Narendra Kumar; Mazin Abed Mohammed; Alaa S. Al‐Waisy; Mustafa Musa Jaber,Wireless Communications and Mobile Computing,10.1155/2022/9148373,https://doi.org/10.1155/2022/9148373,"We are traversing the growing emerging technology paradigms in today’s advanced technological world. In this present era, the Internet of Things (IoT) is extensively used in all sectors. IoT is the ecosystem of smart devices which contains sensors, smart objects, networking, and processing units. These integrated devices provide better services to the end user. IoT is impacting our environment and is becoming one of the most popular technologies. The leading use of IoT in human life is to track activities anywhere at any time. The utmost utilities achieved by IoT applications are decision‐making and monitoring for efficient and effective management. In this paper, an extensive literature review on IoT has been done using the systematic literature review (SLR) technique. The main focus areas include commercial, environmental, healthcare, industrial, and smart cities. The issues related to the IoT are also discussed in detail. The purpose of this review is to identify the major areas of applications, different popular architectures, and their challenges. The various IoT applications are compared in accordance with technical features such as quality of service and environmental evaluation. This study can be utilized by the researchers to understand the concept of IoT and provides a roadmap to develop strategies for their future research work.",identified,unique,exclude,R02_wrong_document_type_or_domain,
RAW076,OpenAlex,Q1,The Recent Technological Trends of Smart Irrigation Systems in Smart Farming: A Review,2023,Roufaida Khebbache; Abdelhak Merizig; Khaled Rezeg; Jaime Lloret,International Journal of Computing and Digital Systems,10.12785/ijcds/1401104,https://doi.org/10.12785/ijcds/1401104,"Agriculture is considered one of the most vital industries worldwide responsible for people's food and the country's economic development.Nevertheless, this sector is the largest consumer of freshwater.Access to water, soil kind, weather conditions, fertilizers, and illnesses are crucial aspects of agricultural activities.Moreover, water scarcity has become a significant issue for farmers to tackle irrigation activity.While irrigation depends on water availability, building smart irrigation systems that control and manage water use efficiency is highly needed.This paper examines the most modern technologies used in irrigation systems over the last few years.This survey can easily be thorough and beneficial to academics while providing essential recommendations for the new era of irrigation systems technologies.The findings indicate widespread use of the Internet of Things (IoT) and artificial intelligence algorithms, while digital twins and blockchain technologies are less common and still in the early stages.To reduce costs and improve security in irrigation systems, it is strongly recommended to adopt digital twin technology.By utilizing digital twins, farmers can enhance operations, optimize resource utilization, and increase efficiency.Furthermore, digital twins contribute to identifying vulnerabilities and implementing robust security measures, ensuring protection against potential threats and disruptions.",identified,unique,exclude,R02_wrong_document_type_or_domain,
