record_id,record_role,title,year,doi,metadata_status,evidence_tier,evidence_basis,fulltext_status,fulltext_locator,application_class,application_confidence,protocol_class,protocol_confidence,control_strategy,control_confidence,pnce_evidence_note,D1_selection_judgement,D1_selection_support,D2_performance_judgement,D2_performance_support,D3_detection_judgement,D3_detection_support,D4_attrition_judgement,D4_attrition_support,D5_reporting_judgement,D5_reporting_support,D6_information_leakage_judgement,D6_information_leakage_support,rob_overall,rob_basis,applicability_note,audit_status,reviewer_id,audit_date
S11,analytical_primary,Learning-based multi-agent MPC for irrigation scheduling,2024,10.1016/j.conengprac.2024.105908,verified original seed,E1,verified_metadata,inaccessible_after_retrieval_attempts,,irrigation_outdoor,medium,unspecified,low,hybrid,high,"title: 'Learning-based multi-agent MPC for irrigation scheduling' (ML + MPC) | Full-text audit: No correction: title suggests learning-based multi-agent MPC irrigation, but PNCE components require full-text verification.",unclear,No locator-backed full text read.,unclear,No locator-backed full text read.,unclear,No locator-backed full text read.,unclear,No locator-backed full text read.,unclear,No locator-backed full text read.,unclear,No locator-backed full text read.,not_assessable,Full-text retrieval attempted but no reviewable lawful copy was obtained; method-dependent RoB remains not assessable.,Irrigation relevance remains metadata-level only.,retrieval_attempted_fulltext_unavailable,batch_fulltext_audit_2026,2026-08-10
S12,analytical_primary,Robust sample-based model predictive control of a greenhouse system with parametric uncertainty,2022,10.1016/j.ifacol.2022.11.135,verified original seed,E1,verified_metadata,inaccessible_after_retrieval_attempts,,greenhouse_microclimate,high,unspecified,low,MPC,high,title: 'model predictive control of a greenhouse system' | Full-text audit: No correction; title-level P/C only.,unclear,No locator-backed full text read.,unclear,No locator-backed full text read.,unclear,No locator-backed full text read.,unclear,No locator-backed full text read.,unclear,No locator-backed full text read.,unclear,No locator-backed full text read.,not_assessable,Full-text retrieval attempted but no reviewable lawful copy was obtained; method-dependent RoB remains not assessable.,"Potentially direct greenhouse-control evidence, unverified beyond metadata.",retrieval_attempted_fulltext_unavailable,batch_fulltext_audit_2026,2026-08-10
S13,analytical_primary,Smart Irrigation System Considering Optimal Energy Management Based on Model Predictive Control (MPC),2022,10.3390/app12094235,verified original seed,E3,full_text,fulltext_reviewed,"Applied Sciences 2022, 12, 4235: Sec. 3.1-3.2 (irrigation scheduling and microgrid EMS formulation); Sec. 4.1 (case study, plot of 1173 m2 in Cotopaxi, Ecuador); Sec. 4.2-4.5 (traditional, technified, and proposed irrigation plus EMS scenarios); Table 5 (technified irrigation schedule); Table 7 (comparative crop time, irrigation hours, gallons, and cost); Figs. 4-7 (soil-moisture trajectories and one-day EMS dispatch); Data Availability Statement (declared 'Not applicable').",irrigation_outdoor,medium,unspecified,low,MPC,high,"title: 'Based on Model Predictive Control (MPC)' | Full-text audit: Crossref abstract verifies P, C (MPC energy management), and proposed evaluation context; N remains unverified/not explicit. | Full-text audit (pass 3): Plant is modelled alfalfa on a nominal 1173 m2 Ecuadorian plot over 60 days, not a measured crop deployment. Network is ABSENT: no communication protocol, delay, packet loss, or link performance is evaluated, so the existing 'unspecified' protocol label is correct and must not be upgraded. Control is rule-based daily water-balance irrigation scheduling combined with MPC-style microgrid energy optimisation for pump timing plus battery, photovoltaic, and diesel dispatch. Evaluation is software simulation with numeric comparisons in Tables 5-7 and Figs. 4-7. Retain MPC for the energy-management stage but record that the irrigation-scheduling stage is rule-based water balance, and that no networked-control evidence is present.",high,"The evaluation is a deterministic 60-day software simulation for one modelled 1173 m2 alfalfa plot in Cotopaxi, Ecuador, over a single 1 July to 29 August record (Sec. 4.1; Sec. 4). No physical deployment, hardware-in-the-loop test, replication, or site sampling is reported.",some_concerns,"Traditional, technified, and proposed irrigation are compared numerically over the same stated 60-day crop period (Table 7), but the three schedules are constructed by different procedures and matched optimisation constraints or equivalent operating policies are not established; the second scenario is applied only to the proposed EMS (Sec. 4.2 and 4.4).",some_concerns,"Modelled outcomes are auditable with units: traditional 60 h and USD 57, technified 83 h and USD 78.85, proposed 37 h and USD 35.15 over 60 days, with gallons per technique (Table 7), plus simulated soil-moisture trajectories in mm (Figs. 4-6). However, no measured field water use, crop growth, yield, or hardware energy outcome is reported, and no uncertainty estimates accompany the point values.",high,"No repeated runs, seeds, missing-data rule, solver-failure accounting, excluded periods, or sensitivity analysis is reported for the 60-day simulation; results are presented as one deterministic trajectory plus a single one-day EMS dispatch profile (Sec. 4.2-4.5; Fig. 7).",high,"Equations, component ratings, and schedules are reported (Tables 1-6), and the solver environment is named, but no code, complete input series, or reusable output artifact is supplied, and the Data Availability Statement declares 'Not applicable', which removes any route to independent verification of the reported savings.",high,"Irrigation decisions use one-day-ahead precipitation and meteorological predictions and the EMS uses a 24-sample irradiance prediction horizon (Sec. 3.1), while the evaluation inputs are described only as hourly climatological data recorded in a computational database from 1 July through 29 August (Sec. 4). No forecast issue times, archived forecast products, or hindcast protocol are reported, so forecast availability at each decision instant is not demonstrated.",high,Locator-backed full-text adapted RoB audit (pass-3 lawful OA retrieval); every quantitative claim was verified verbatim against the cached full text.,"Comparative engineering evidence from a deterministic software simulation driven by historical hourly climatological records. The article does not demonstrate field deployment or hardware-in-the-loop evaluation, so the reported water, diesel, and cost savings are modelled rather than measured outcomes.",fulltext_review_complete,pass3_fulltext_audit_2026,2026-08-10
S14,analytical_primary,Robust model predictive control for greenhouse temperature based on particle swarm optimization,2018,10.1016/j.inpa.2018.04.003,verified original seed,E1,verified_metadata,inaccessible_after_retrieval_attempts,,greenhouse_microclimate,high,unspecified,low,MPC,high,title: 'model predictive control for greenhouse temperature ... PSO' | Full-text audit: No correction; title-level P/C only.,unclear,No locator-backed full text read.,unclear,No locator-backed full text read.,unclear,No locator-backed full text read.,unclear,No locator-backed full text read.,unclear,No locator-backed full text read.,unclear,No locator-backed full text read.,not_assessable,Full-text retrieval attempted but no reviewable lawful copy was obtained; method-dependent RoB remains not assessable.,Greenhouse MPC relevance remains title/metadata-level.,retrieval_attempted_fulltext_unavailable,batch_fulltext_audit_2026,2026-08-10
S15,technical_support_primary,Event-Triggered Control for Scalar Networked Systems with Random Delays,2025,10.1109/aiea66061.2025.11160534,verified original seed,E1,verified_metadata,inaccessible_after_retrieval_attempts,,ncs_iot_platform,medium,unspecified,low,ETC_event_triggered,high,title: 'Event-Triggered Control for Scalar Networked Systems' | Full-text audit: No correction; title-level N/C only and no agricultural P/E demonstrated.,unclear,No locator-backed full text read.,unclear,No locator-backed full text read.,unclear,No locator-backed full text read.,unclear,No locator-backed full text read.,unclear,No locator-backed full text read.,unclear,No locator-backed full text read.,not_assessable,Full-text retrieval attempted but no reviewable lawful copy was obtained; method-dependent RoB remains not assessable.,Generic scalar NCS evidence; indirect for agricultural deployment.,retrieval_attempted_fulltext_unavailable,batch_fulltext_audit_2026,2026-08-10
S16,analytical_primary,Energy-Efficient Wireless Communication Strategy for Precision Agriculture Irrigation Control,2021,10.3390/s21165541,verified original seed,E3,full_text,fulltext_reviewed,§2.2 pp.5–6 (one-ha field/WSN); §3 pp.8–11; §4.1–4.4 pp.12–16; Tables 1–3; Figs.1–10; §5.,irrigation_outdoor,medium,unspecified,low,unspecified,low,"title: 'Wireless Communication Strategy for ... Irrigation Control' (no named control strategy) | Full-text audit: P (pecan irrigation), N (IEEE 802.15.4 WSN), C (closed-loop self-triggered/on-off actuation), and E (simultaneous four-week field measures) are verified. Correct control classification from unspecified to ETC/self-triggered communication strategy; actuator control is on–off.",some_concerns,"One 1-ha pecan field, four 25×100-m irrigation areas, over four weeks (§2.2; §4.1); limited crop/site/time generalizability.",some_concerns,"Four strategies were evaluated simultaneously, but allocation of strategies to the four areas/randomisation and equivalence of zone conditions are not reported (§4.1).",low,"Physical field measures and prespecified message count, water use and moisture-error outcomes are defined (§4.1) and reported in Tables 2–3/Figs.7–10.",unclear,"Transmission retries are described (§4.4), but missing readings, failed runs, exclusions and loss accounting across the four-week evaluation are not reported.",some_concerns,"System, model coefficients and metrics are described (Tables 1–3; §§2–4), but raw data, firmware/code and complete per-zone time series are unavailable.",some_concerns,Four-week data were used for identification (§2.3) and four-week evaluation is reported (§4); temporal separation/independence between those datasets is not made explicit.,some_concerns,Locator-backed full-text adapted RoB audit.,"Direct precision-irrigation WSN field implementation, but single-site short-duration comparison limits transportability.",fulltext_review_complete,batch_fulltext_audit_2026,2026-08-10
S17,technical_support_primary,Self-triggered Control with Energy Harvesting Sensor Nodes,2023,10.1145/3597311,verified original seed,E1,verified_metadata,inaccessible_after_retrieval_attempts,,ncs_iot_platform,medium,unspecified,low,ETC_event_triggered,high,title: 'Self-triggered Control with Energy Harvesting Sensor Nodes' (self-triggered = ETC family) | Full-text audit: No correction; no agricultural P established from verified metadata.,unclear,No locator-backed full text read.,unclear,No locator-backed full text read.,unclear,No locator-backed full text read.,unclear,No locator-backed full text read.,unclear,No locator-backed full text read.,unclear,No locator-backed full text read.,not_assessable,Full-text retrieval attempted but no reviewable lawful copy was obtained; method-dependent RoB remains not assessable.,Technical NCS/energy-harvesting evidence; indirect for agriculture.,retrieval_attempted_fulltext_unavailable,batch_fulltext_audit_2026,2026-08-10
S18,technical_support_primary,A Sensitivity-Based Approach to Self-Triggered Nonlinear Model Predictive Control,2024,10.1109/access.2024.3480522,verified original seed,E3,full_text,fulltext_reviewed,"IEEE Access 12 (2024), pp. 153243-153252: Sections II-IV, Eqs. (1)-(29), Algorithms 1-2; Section V.A with Figures 1-5 and Tables 1-2; Section V.B with Figures 6-7; Section VI.",ncs_iot_platform,medium,unspecified,low,hybrid,high,"title: 'Self-Triggered Nonlinear Model Predictive Control' (ETC + MPC) | Full-text audit: No correction; title-level N/C only, without agricultural P/E. | Full-text audit (pass 2): Reclassify from ncs_iot_platform to generic self-triggered nonlinear MPC technical-support evidence. The full text contains no agricultural plant and no IoT-platform deployment; networked-system references are motivational (Introduction) while the evaluated systems are the academic oscillator and VTOL model (Section V).",high,"The evaluation covers only an academic two-state nonlinear oscillator and a simulated VTOL aircraft model (Sections V.A-V.B; Eqs. 30-33). No agricultural system, field setting, or communication deployment is evaluated.",some_concerns,"Approximate and exact self-triggered implementations are compared, and self-triggered MPC is compared with fixed-sampling MPC at stated intervals and noise levels (Sections V.A.1-V.A.3; Figure 4; Table 2), but fixed-sampling choices and sensitivity weights are author-selected and no broad benchmark set is reported.",some_concerns,"Metrics, settings, and units are defined, including sampling time in seconds, total cost, sample counts, and CPU time (Sections III-V; Figures 1-5; Table 2). The academic example reports mean sampling time about 0.33 s, RMSE 5e-5 s, and maximum deviation 1e-3 s (Section V.A.1), and the noise study uses 50 runs per scenario (Section V.A.2). Several principal comparisons remain graphical.",some_concerns,"Fifty runs per noise scenario and box plots are reported (Section V.A.2; Figure 4), but random seeds, failed optimizations, infeasibility handling, and exclusion rules are not stated.",some_concerns,"The MPC formulation, algorithms, bounds, and example parameters are reported (Sections II-V; Algorithms 1-2; Eqs. 30-33) and GRAMPC is named as the solver (Section V.A.1), but no code, input files, seeds, or raw outputs are supplied.",low,At each sampling instant the optimization uses the current state x_k and derives the next sampling time from the MPC solution and current cost sensitivity (Sections II.A and III; Algorithm 1). No future measured outcomes or non-causal data are used.,high,Locator-backed full-text adapted RoB audit (pass-2 lawful OA retrieval).,"Technical-support (indirect) evidence only. It establishes simulation properties of sensitivity-based self-triggered nonlinear MPC on an academic oscillator and a VTOL model, not agricultural control or an agricultural NCS deployment.",fulltext_review_complete,pass2_fulltext_audit_2026,2026-08-10
S19,technical_support_primary,Self-Triggered DMPC for Dynamically Coupled Systems With Reduced Conservatism,2025,10.1109/tii.2025.3593862,verified original seed,E1,verified_metadata,inaccessible_after_attempts,,ncs_iot_platform,medium,unspecified,low,hybrid,high,title: 'Self-Triggered DMPC' (ETC + distributed MPC) | Full-text audit: None from full text; retain existing metadata-level classification (hybrid self-triggered/distributed MPC).,unclear,No locator-backed full text acquired; selection/scenario coverage cannot be assessed.,unclear,No full text to assess comparator design or tuning.,unclear,No full text to assess outcome measurement.,unclear,"No full text to assess exclusions, failed runs, or missing data.",unclear,No full text to assess reproducibility artifacts or reporting completeness.,unclear,No full text to assess temporal-information handling.,not_assessable,Full-text retrieval attempted but no reviewable lawful copy was obtained; method-dependent RoB remains not assessable.,Technical-support evidence on self-triggered distributed MPC; indirect for agricultural implementation.,retrieval_attempted_fulltext_unavailable,batch_fulltext_audit_2026,2026-08-10
S20,technical_support_primary,Self-Triggered Distributed Model Predictive Control with Synchronization Parameters Interaction,2024,10.48550/arxiv.2405.11006,verified original seed,E3,full_text,fulltext_reviewed,Full text pp.1--7; Section V p.6; Figs.2--6 pp.6--7.,ncs_iot_platform,medium,unspecified,low,hybrid,high,title: 'Self-Triggered Distributed Model Predictive Control' (ETC + MPC),high,"One simulated three-robot case only (Section V, p.6).",high,"No concurrent comparator in Section V/Figs.2--6, pp.6--7.",some_concerns,"Plots cover 0--20 steps; graphical outcomes only (Figs.2--5, p.7).",unclear,"No repetitions, seeds, failed runs or exclusions reported (Section V, p.6).",some_concerns,"Parameters reported, but no code/solver artifact located (Section V, p.6).",unclear,"Temporal-information protocol not described (Section V, p.6).",high,Locator-backed full-text audit using adapted D1--D6 engineering RoB framework.,"Single theoretical simulation; mechanism evidence, indirect for agriculture.",fulltext_review_complete,independent_fulltext_review_2026,2026-08-09
S21,technical_support_primary,Event-Based Sensor Data Scheduling: Trade-Off Between Communication Rate and Estimation Quality,2013,10.1109/tac.2012.2215253,verified original seed,E1,verified_metadata,repository_oa_identified_but_not_acquired,,ncs_iot_platform,medium,unspecified,low,ETC_event_triggered,high,"title: 'Event-Based Sensor Data Scheduling' | Full-text audit: None. Repository OA is a discovery lead only, not evidence of completed full-text PNCE/RoB verification.",unclear,Repository full text was identified but not obtained; no locator-backed assessment possible.,unclear,No acquired full text to assess comparison design.,unclear,No acquired full text to assess estimation-quality outcomes.,unclear,No acquired full text to assess run accounting.,unclear,No acquired full text to assess reporting/reproducibility.,unclear,No acquired full text to assess temporal-information protocol.,not_assessable,Full-text retrieval attempted but no reviewable lawful copy was obtained; method-dependent RoB remains not assessable.,Technical-support event-based sensor scheduling/estimation evidence; indirect for agricultural implementation.,retrieval_attempted_fulltext_unavailable,batch_fulltext_audit_2026,2026-08-10
S22,context_secondary,A survey on recent advances in event-triggered communication and control,2018,,verified replacement,E1-context,context_metadata,inaccessible_after_attempts_context_verified,,ncs_iot_platform,medium,unspecified,low,none_review,high,"title: 'A survey on ... event-triggered communication and control' (review, no proposed strategy) | Full-text audit: Correct retrieval metadata with DOI 10.1016/j.ins.2018.04.055. Preserve context_secondary/none_review role.",not_assessable,Context survey; excluded from analytical RoB.,not_assessable,Context survey; excluded from analytical RoB.,not_assessable,Context survey; excluded from analytical RoB.,not_assessable,Context survey; excluded from analytical RoB.,not_assessable,Context survey; excluded from analytical RoB.,not_assessable,Context survey; excluded from analytical RoB.,not_assessable,Full-text retrieval attempted but no reviewable lawful copy was obtained; method-dependent RoB remains not assessable.,Verified bibliographic/context role only: survey of event-triggered communication and control; it must remain excluded from analytical RoB/GRADE and effectiveness synthesis.,context_only_verified,batch_fulltext_audit_2026,2026-08-10
S23,technical_support_primary,Data-driven-based fully distributed event-triggered control for nonlinear multi-agent systems,2025,10.1016/j.amc.2025.129307,verified original seed,E1,verified_metadata,inaccessible_after_attempts,,ncs_iot_platform,medium,unspecified,low,ETC_event_triggered,high,title: 'fully distributed event-triggered control for nonlinear multi-agent' | Full-text audit: None from full text; retain metadata-level ETC classification.,unclear,No locator-backed full text acquired.,unclear,No locator-backed full text acquired.,unclear,No locator-backed full text acquired.,unclear,No locator-backed full text acquired.,unclear,No locator-backed full text acquired.,unclear,No locator-backed full text acquired.,not_assessable,Full-text retrieval attempted but no reviewable lawful copy was obtained; method-dependent RoB remains not assessable.,Technical-support distributed event-triggered nonlinear multi-agent control; indirect for agricultural implementation.,retrieval_attempted_fulltext_unavailable,batch_fulltext_audit_2026,2026-08-10
S24,technical_support_primary,Event-Triggered Distributed Optimal Bipartite Consensus Control for Multi-Agent Systems via Adaptive Dynamic Programming,2025,10.1109/crc67523.2025.11288265,verified original seed,E1,verified_metadata,inaccessible_after_attempts,,ncs_iot_platform,medium,unspecified,low,ETC_event_triggered,high,title: 'Event-Triggered Distributed Optimal Bipartite Consensus Control' | Full-text audit: None from full text; retain metadata-level ETC classification.,unclear,No locator-backed full text acquired.,unclear,No locator-backed full text acquired.,unclear,No locator-backed full text acquired.,unclear,No locator-backed full text acquired.,unclear,No locator-backed full text acquired.,unclear,No locator-backed full text acquired.,not_assessable,Full-text retrieval attempted but no reviewable lawful copy was obtained; method-dependent RoB remains not assessable.,Technical-support event-triggered adaptive-DP consensus control; indirect for agricultural implementation.,retrieval_attempted_fulltext_unavailable,batch_fulltext_audit_2026,2026-08-10
S25,technical_support_primary,Disturbance Rejection Self-Triggered Distributed MPC With Adaptive Prediction Horizon for Asynchronous Multiagent Systems,2024,10.1109/tsmc.2024.3350157,verified original seed,E1,verified_metadata,inaccessible_after_attempts,,ncs_iot_platform,medium,unspecified,low,hybrid,high,title: 'Self-Triggered Distributed MPC ... Multiagent' (ETC + MPC) | Full-text audit: None from full text; retain metadata-level hybrid (self-triggered plus distributed MPC) classification.,unclear,No locator-backed full text acquired.,unclear,No locator-backed full text acquired.,unclear,No locator-backed full text acquired.,unclear,No locator-backed full text acquired.,unclear,No locator-backed full text acquired.,unclear,No locator-backed full text acquired.,not_assessable,Full-text retrieval attempted but no reviewable lawful copy was obtained; method-dependent RoB remains not assessable.,Technical-support self-triggered distributed MPC evidence; indirect for agricultural implementation.,retrieval_attempted_fulltext_unavailable,batch_fulltext_audit_2026,2026-08-10
S26,technical_support_primary,Semi–Global Exponential Stabilization of Nonlinear Time–Delay Systems via Sampled–Data Event–Triggered Controllers,2025,10.1109/cdc57313.2025.11312052,verified original seed,E1,verified_metadata,inaccessible_after_attempts,,ncs_iot_platform,medium,unspecified,low,ETC_event_triggered,high,title: 'Sampled-Data Event-Triggered Controllers' | Full-text audit: None from full text; retain metadata-level ETC classification.,unclear,No locator-backed full text acquired.,unclear,No locator-backed full text acquired.,unclear,No locator-backed full text acquired.,unclear,No locator-backed full text acquired.,unclear,No locator-backed full text acquired.,unclear,No locator-backed full text acquired.,not_assessable,Full-text retrieval attempted but no reviewable lawful copy was obtained; method-dependent RoB remains not assessable.,Technical-support sampled-data event-triggered stabilization evidence; indirect for agricultural implementation.,retrieval_attempted_fulltext_unavailable,batch_fulltext_audit_2026,2026-08-10
S27,technical_support_primary,Observer-based AE-T cooperative DMPC for a class of interconnected nonlinear systems with time delay and unmodeled dynamics,2025,10.1080/00207721.2025.2467224,verified original seed,E1,verified_metadata,inaccessible_after_attempts,,ncs_iot_platform,medium,unspecified,low,hybrid,high,title: 'AE-T cooperative DMPC' (adaptive event-triggered + distributed MPC) | Full-text audit: None from full text; retain metadata-level hybrid classification.,unclear,No locator-backed full text acquired.,unclear,No locator-backed full text acquired.,unclear,No locator-backed full text acquired.,unclear,No locator-backed full text acquired.,unclear,No locator-backed full text acquired.,unclear,No locator-backed full text acquired.,not_assessable,Full-text retrieval attempted but no reviewable lawful copy was obtained; method-dependent RoB remains not assessable.,Technical-support adaptive-event-triggered cooperative DMPC evidence; indirect for agricultural implementation.,retrieval_attempted_fulltext_unavailable,batch_fulltext_audit_2026,2026-08-10
S28,technical_support_primary,The event-triggered sampling optimization criterion for distributed networked monitoring and control systems,2003,10.1109/icit.2003.1290814,verified original seed,E1,verified_metadata,inaccessible_after_attempts,,ncs_iot_platform,high,unspecified,low,ETC_event_triggered,high,title: 'event-triggered sampling ... distributed networked monitoring and control' | Full-text audit: None from full text; retain metadata-level ETC classification.,unclear,No locator-backed full text acquired.,unclear,No locator-backed full text acquired.,unclear,No locator-backed full text acquired.,unclear,No locator-backed full text acquired.,unclear,No locator-backed full text acquired.,unclear,No locator-backed full text acquired.,not_assessable,Full-text retrieval attempted but no reviewable lawful copy was obtained; method-dependent RoB remains not assessable.,Technical-support event-triggered networked monitoring/control evidence; indirect for agricultural implementation.,retrieval_attempted_fulltext_unavailable,batch_fulltext_audit_2026,2026-08-10
S29,technical_support_primary,Stability of output event-based control systems through quadratic trigger functions,2015,10.1109/etfa.2015.7301402,verified original seed,E1,verified_metadata,inaccessible_after_lawful_retrieval_attempts,,ncs_iot_platform,medium,unspecified,low,ETC_event_triggered,high,title: 'output event-based control systems ... trigger functions' | Full-text audit: No full-text basis to alter existing title/metadata coding; retain event-triggered technical-support classification with low protocol detail confidence.,not_assessable,No reviewed full text or locator.,not_assessable,No reviewed full text or locator.,not_assessable,No reviewed full text or locator.,not_assessable,No reviewed full text or locator.,not_assessable,No reviewed full text or locator.,not_assessable,No reviewed full text or locator.,not_assessable,Full-text retrieval attempted but no reviewable lawful copy was obtained; method-dependent RoB remains not assessable.,Technical event-triggered-control support only; indirect for agricultural implementation.,retrieval_attempted_fulltext_unavailable,batch_fulltext_audit_2026,2026-08-10
S30,technical_support_primary,A Learning Approach for Joint Design of Event-Triggered Control and Power-Efficient Resource Allocation,2022,10.1109/tvt.2022.3159739,verified original seed,E3,full_text,fulltext_reviewed,Full text pp.1--12; Table I/Section IV p.9; Figs.4--12 pp.9--11.,ncs_iot_platform,medium,unspecified,low,hybrid,high,title: 'Learning Approach for Joint Design of Event-Triggered Control' (ML + ETC),some_concerns,"Two simulated settings, no physical deployment (Section IV, pp.9--11).",some_concerns,"Comparators used, but matched tuning/budgets not established (Section IV, pp.9--11).",some_concerns,Scenario-specific updates/power and 300-step episodes; limited uncertainty (pp.10--11).,some_concerns,Five training processes/50 tests stated; seeds and failed-run accounting absent (pp.9--11).,high,"No code, trained policy, seeds or complete hyperparameter artifact located (Section IV).",unclear,Tuning/final-test separation not documented (Sections III--IV).,some_concerns,Locator-backed full-text audit using adapted D1--D6 engineering RoB framework.,Comparative simulation evidence only; not deployed ICPS evidence.,fulltext_review_complete,independent_fulltext_review_2026,2026-08-09
S31,analytical_primary,Intelligent Condensation Irrigation System Based on Internet of Things,2023,10.1109/icmsp58539.2023.10170873,verified original seed,E1,verified_metadata,inaccessible_after_lawful_retrieval_attempts,,irrigation_outdoor,medium,unspecified,low,unspecified,low,"title: 'Intelligent Condensation Irrigation System Based on Internet of Things' ('intelligent' vague, no named strategy) | Full-text audit: No correction justified; named strategy/protocol/control/evaluation remain unspecified pending full text.",not_assessable,No reviewed full text or locator.,not_assessable,No reviewed full text or locator.,not_assessable,No reviewed full text or locator.,not_assessable,No reviewed full text or locator.,not_assessable,No reviewed full text or locator.,not_assessable,No reviewed full text or locator.,not_assessable,Full-text retrieval attempted but no reviewable lawful copy was obtained; method-dependent RoB remains not assessable.,Irrigation-domain directness and evaluative design cannot be verified from metadata.,retrieval_attempted_fulltext_unavailable,batch_fulltext_audit_2026,2026-08-10
S32,analytical_primary,"Control, And Monitoring System Design Cultivation of Lettude Using Method Aeroponics Based on Smart Farming",2025,10.1109/tssa68467.2025.11303843,verified original seed,E1,verified_metadata,inaccessible_after_lawful_retrieval_attempts,,greenhouse_microclimate,low,unspecified,low,unspecified,low,"title: 'Cultivation ... Aeroponics ... Smart Farming' (controlled-environment, not clearly greenhouse; verify) | Full-text audit: No correction justified; preserve low-confidence controlled-environment classification and unspecified C/N/E fields.",not_assessable,No reviewed full text or locator.,not_assessable,No reviewed full text or locator.,not_assessable,No reviewed full text or locator.,not_assessable,No reviewed full text or locator.,not_assessable,No reviewed full text or locator.,not_assessable,No reviewed full text or locator.,not_assessable,Full-text retrieval attempted but no reviewable lawful copy was obtained; method-dependent RoB remains not assessable.,Aeroponics/controlled-environment relevance is not enough to establish greenhouse directness or effectiveness.,retrieval_attempted_fulltext_unavailable,batch_fulltext_audit_2026,2026-08-10
S34,analytical_primary,Design and performance of nutrient dosing control system for hydroponic chilli plant using fuzzy logic controller,2025,10.55981/j.mev.2025.910,verified original seed,E3,full_text,fulltext_reviewed,Full text pp.278--290; Sections A--B pp.285--288; Figs.14--17; Table 2.,greenhouse_microclimate,low,unspecified,low,Fuzzy_PID,high,"title: 'fuzzy logic controller' for hydroponic nutrient dosing (application=controlled-env, verify)",high,"Single greenhouse prototype with three-day observations (Section B, pp.286--288).",high,"No concurrent external comparator (Section A, pp.285--286).",some_concerns,"Relevant device measures, but only three-day horizon and no yield outcome (Section B).",some_concerns,Errors acknowledged; replicates/missing-data/failed-run rules absent (p.287).,some_concerns,Prototype parameters reported; no code/raw series located (pp.285--288).,unclear,Evapotranspiration prediction timing/source insufficiently specified (p.287).,high,Locator-backed full-text audit using adapted D1--D6 engineering RoB framework.,Three-day engineering demonstration; not comparative agronomic evidence.,fulltext_review_complete,independent_fulltext_review_2026,2026-08-09
S35,analytical_primary,Smart greenhouse construction and irrigation control system for optimal Brassica Juncea development,2023,10.1371/journal.pone.0292971,verified replacement,E3,full_text,fulltext_reviewed,Full text pp.1--46; Section 3.6 pp.30--37; Sections 4--5 pp.38--42.,greenhouse_microclimate,high,unspecified,low,unspecified,low,title: 'Smart greenhouse ... irrigation control system' (no named control strategy),not_assessable,System description without scenario-based performance evaluation (Sections 3.6--5).,not_assessable,"No comparator experiment (Figs.27--38, pp.33--37).",not_assessable,No defined numerical crop/system performance outcomes (Sections 4--5).,not_assessable,No evaluative run set or failure accounting (Sections 3.6--5).,high,"No source code, raw data or complete control configuration (pp.29--37).",unclear,Recommendation inputs lack temporal-separation specification (Section 3.6).,high,Locator-backed full-text audit using adapted D1--D6 engineering RoB framework.,Architecture/interface description only; not effectiveness evidence.,fulltext_review_complete,independent_fulltext_review_2026,2026-08-09
S36,analytical_primary,Design and Development of IoT Smart Drip Irrigation and Fertigation Prototype for Small and Medium Scale Farmers. Acase Study of Tomato Farmers in Tanzania,2025,10.1007/s40030-024-00857-7,verified original seed,E3,full_text,fulltext_reviewed,Journal PDF pp. 373–395 (23 PDF pages): Methods and Materials; Programming Flowcharts/Fig. 15 pp. 383–385; Performance Testing pp. 387–390; Tables 1–3 pp. 392–393; Conclusion p. 390.,irrigation_outdoor,medium,unspecified,low,unspecified,low,"title: 'IoT Smart Drip Irrigation and Fertigation ... tomato farmers' | Full-text audit: Confirm P=tomato irrigation/fertigation, N=ESP32/IoT cloud, C=soil-moisture/NPK threshold actuation, E=prototype functionality and short sensor tests. Do not code a demonstrated crop-yield benefit: the conclusion asserts it without a defined comparative yield result.",high,"Evaluation is a small prototype/two-bucket test with selected soil conditions; Table 2 provides eight days of readings, not a sampled farm comparison (Performance Testing pp. 387–390; Table 2 p. 393).",high,"No concurrent, matched irrigation/fertigation comparator is described. Table 1 juxtaposes set, simulated storage-tank, and field-soil values, which are not randomized comparator arms (p. 392).",some_concerns,"Moisture/NPK targets and pump state are reported, but crop-yield claim is unsupported by a defined yield outcome and the sensor/serial-monitor measures are short horizon (Performance Testing pp. 387–390; Tables 1–3 pp. 392–393).",high,"No prespecified repetitions, missing-data, failed-run, or exclusion handling is reported for functionality/efficiency testing (pp. 387–390).",some_concerns,"Hardware and flowchart are provided (Fig. 15; pp. 383–385), but no source code, raw time series, or complete reproducible configuration is supplied.",unclear,"Threshold-control timing is described, but timestamped sensor-to-actuation data and an information-separation protocol are absent (pp. 383–390).",high,Locator-backed full-text adapted RoB audit.,"Direct tomato drip/fertigation prototype evidence in Tanzania, but effectiveness inference is restricted by bench-scale/short testing and no comparator; not robust field-effectiveness evidence.",fulltext_review_complete,batch_fulltext_audit_2026,2026-08-10
