duplicate_raw_id,duplicate_title,duplicate_doi,duplicate_channel,duplicate_query,retained_raw_id,dedupe_rule,evidence_reason
RAW238,A Comprehensive Survey on TinyML,10.1109/access.2023.3294111,OpenAlex,Q7,RAW150,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW150
RAW239,A Survey on LoRa for Smart Agriculture: Current Trends and Future Perspectives,10.1109/jiot.2022.3230505,OpenAlex,Q7,RAW154,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW154
RAW241,Model Predictive Control of Smart Greenhouses as the Path towards Near Zero Energy Consumption,10.3390/en13143647,OpenAlex,Q8,RAW133,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW133
RAW270,Smart Water Management Platform: IoT-Based Precision Irrigation for Agriculture,10.3390/s19020276,OpenAlex,Q9,RAW059,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW059
RAW271,A Survey on the Role of IoT in Agriculture for the Implementation of Smart Farming,10.1109/access.2019.2949703,OpenAlex,Q9,RAW140,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW140
RAW272,Energy-Efficient Wireless Sensor Networks for Precision Agriculture: A Review,10.3390/s17081781,OpenAlex,Q9,RAW143,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW143
RAW273,Internet-of-Things (IoT)-Based Smart Agriculture: Toward Making the Fields Talk,10.1109/access.2019.2932609,OpenAlex,Q9,RAW182,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW182
RAW274,Role of IoT Technology in Agriculture: A Systematic Literature Review,10.3390/electronics9020319,OpenAlex,Q9,RAW144,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW144
RAW275,"A Review of Precision Irrigation Water-Saving Technology under Changing Climate for Enhancing Water Use Efficiency, Crop Yield, and Environmental Footprints",10.3390/agriculture14071141,OpenAlex,Q9,RAW149,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW149
RAW276,Smart Sensors and Smart Data for Precision Agriculture: A Review,10.3390/s24082647,OpenAlex,Q9,RAW148,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW148
RAW277,Internet of Things and Wireless Sensor Networks for Smart Agriculture Applications: A Survey,10.1109/access.2023.3346299,OpenAlex,Q9,RAW151,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW151
RAW279,AgriFusion: An Architecture for IoT and Emerging Technologies Based on a Precision Agriculture Survey,10.1109/access.2021.3116814,OpenAlex,Q9,RAW153,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW153
RAW281,Recent Developments of the Internet of Things in Agriculture: A Survey,10.1109/access.2020.3009298,OpenAlex,Q9,RAW158,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW158
RAW282,A Survey on LoRa for Smart Agriculture: Current Trends and Future Perspectives,10.1109/jiot.2022.3230505,OpenAlex,Q9,RAW154,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW154
RAW286,Applying IoT Sensors and Big Data to Improve Precision Crop Production: A Review,10.3390/agronomy13102603,OpenAlex,Q9,RAW162,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW162
RAW288,Evaluation of Machine Learning Approaches for Precision Farming in Smart Agriculture System: A Comprehensive Review,10.1109/access.2024.3390581,OpenAlex,Q9,RAW132,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW132
RAW289,"Integration of smart sensors and IOT in precision agriculture: trends, challenges and future prospectives",10.3389/fpls.2025.1587869,OpenAlex,Q9,RAW128,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW128
RAW295,Machine Learning Applications for Precision Agriculture: A Comprehensive Review,10.1109/access.2020.3048415,OpenAlex,Q10,RAW185,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW185
RAW298,"Digital Twin: Values, Challenges and Enablers From a Modeling Perspective",10.1109/access.2020.2970143,OpenAlex,Q10,RAW156,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW156
RAW302,"A Review of Precision Irrigation Water-Saving Technology under Changing Climate for Enhancing Water Use Efficiency, Crop Yield, and Environmental Footprints",10.3390/agriculture14071141,OpenAlex,Q10,RAW149,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW149
RAW303,"Security and Privacy for Green IoT-Based Agriculture: Review, Blockchain Solutions, and Challenges",10.1109/access.2020.2973178,OpenAlex,Q10,RAW214,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW214
RAW304,State-of-the-Art Internet of Things in Protected Agriculture,10.3390/s19081833,OpenAlex,Q10,RAW211,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW211
RAW305,A Review of IoT Sensing Applications and Challenges Using RFID and Wireless Sensor Networks,10.3390/s20092495,OpenAlex,Q10,RAW236,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW236
RAW308,Adoption of the Internet of Things (IoT) in Agriculture and Smart Farming towards Urban Greening: A Review,10.14569/ijacsa.2019.0100402,OpenAlex,Q10,RAW210,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW210
RAW309,Recent Developments of the Internet of Things in Agriculture: A Survey,10.1109/access.2020.3009298,OpenAlex,Q10,RAW158,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW158
RAW311,Smart Sensors and Smart Data for Precision Agriculture: A Review,10.3390/s24082647,OpenAlex,Q10,RAW148,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW148
RAW314,A Comprehensive Survey on TinyML,10.1109/access.2023.3294111,OpenAlex,Q10,RAW150,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW150
RAW451,Internet of things (IoT) and agricultural unmanned aerial vehicles (UAVs) in smart farming,,local_paper_list,LOCAL,RAW338,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW338
RAW469,Digital Technologies for Sustainable Development of Agri-Food: Implementation Guidelines Toward Industry 5.0,,local_paper_list,LOCAL,RAW380,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW380
RAW470,"Foundation models in smart agriculture: Basics, opportunities, and challenges",,local_paper_list,LOCAL,RAW381,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW381
RAW472,Security Analysis in Smart Agriculture: Insights from a Cyber-Physical System Application,,local_paper_list,LOCAL,RAW383,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW383
RAW491,Dew Computing in Smart Agriculture to Improve Real-Time Data Processing and Decision-Making Capabilities for Sustainable Farming,,local_cleaned_papers,LOCAL,RAW316,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW316
RAW492,Safe Control of Multi-Agent Systems with Minimal Communication,,local_cleaned_papers,LOCAL,RAW317,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW317
RAW493,IoT-Enabled Adaptive Watering System with ARIMA-Based Soil Moisture Prediction for Smart Agriculture,,local_cleaned_papers,LOCAL,RAW320,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW320
RAW494,Learned DICOM Image Compression via Super-Resolution with Dilated Residual Blocks and Pixel Attention,,local_cleaned_papers,LOCAL,RAW321,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW321
RAW495,Vegetation Effects on LoRa-Based Wireless Sensor Communication for Remote Monitoring of Automatic Orchard Irrigation Status,,local_cleaned_papers,LOCAL,RAW322,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW322
RAW496,Artificial Intelligence in Agriculture: Advancing Crop Productivity and Sustainability,,local_cleaned_papers,LOCAL,RAW323,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW323
RAW497,Analyzing the Effectiveness of Wireless Sensor Networks in Smart Agriculture with OPNET,,local_cleaned_papers,LOCAL,RAW324,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW324
RAW498,Data-driven model predictive control (MPC) for irrigation management in agricultural greenhouse under CO2 enrichment,,local_cleaned_papers,LOCAL,RAW325,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW325
RAW499,Precision agriculture through data‐driven farming techniques,,local_cleaned_papers,LOCAL,RAW326,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW326
RAW500,Spatiotemporal prediction of soil moisture content using machine learning algorithms,,local_cleaned_papers,LOCAL,RAW327,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW327
RAW501,"MIMO-OFDM Based Wireless Sensor Networks: Standards, Challenges, and Opportunities in Smart Agriculture",,local_cleaned_papers,LOCAL,RAW329,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW329
RAW502,"Application of Smart Techniques, Internet of Things and Data Mining for Resource Use Efficient and Sustainable Crop Production",,local_cleaned_papers,LOCAL,RAW330,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW330
RAW503,Optimal cooperative routing protocol for energy efficiency in wireless sensor networks,,local_cleaned_papers,LOCAL,RAW331,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW331
RAW504,Intelligent Irrigation Management using Reinforcement Learning and Digital Twins,,local_cleaned_papers,LOCAL,RAW332,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW332
RAW505,"Digital Twin: Benefits, use cases, challenges, and opportunities",,local_cleaned_papers,LOCAL,RAW334,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW334
RAW506,Energy-Efficient and Secure Routing in WSN-IoT for Smart Agriculture using Hybrid Optimization,,local_cleaned_papers,LOCAL,RAW335,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW335
RAW507,Internet of Things (IoT) Based Smart Agriculture Monitoring System,,local_cleaned_papers,LOCAL,RAW336,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW336
RAW508,Internet of Things (IoT) and Agricultural Unmanned Aerial Vehicles (UAVs) in Smart Farming,,local_cleaned_papers,LOCAL,RAW338,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW338
RAW509,Scalable and Efficient Data Collection in IoT-Based Smart Farming,,local_cleaned_papers,LOCAL,RAW339,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW339
RAW510,Energy-Efficient IoT-Based Monitoring System for Precision Viticulture,,local_cleaned_papers,LOCAL,RAW340,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW340
RAW511,Multi-objective optimized GPSR intelligent routing protocol for UAV clusters,,local_cleaned_papers,LOCAL,RAW341,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW341
RAW512,Research on Agricultural Environmental Monitoring System Based on IoT,,local_cleaned_papers,LOCAL,RAW343,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW343
RAW513,Green-IoT based Smart Agriculture System for Real-time Monitoring and Control,,local_cleaned_papers,LOCAL,RAW344,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW344
RAW514,Solar dryer dome to improve post-harvest processing for smallholder farmers,,local_cleaned_papers,LOCAL,RAW347,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW347
RAW515,Harnessing the power of transformers and data fusion in smart irrigation,,local_cleaned_papers,LOCAL,RAW348,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW348
RAW516,Farming Assistance for Soil Fertility Improvement and Crop Prediction using XGBoost,,local_cleaned_papers,LOCAL,RAW349,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW349
RAW517,Edge-AI-Enabled IoT Systems for Smart Agriculture,,local_cleaned_papers,LOCAL,RAW350,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW350
RAW518,Smart Agriculture System Based on Long Range Wide Area Network,,local_cleaned_papers,LOCAL,RAW351,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW351
RAW519,IoT Based Smart Agriculture Monitoring and Irrigation System,,local_cleaned_papers,LOCAL,RAW352,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW352
RAW520,AI-based framework for early detection and segmentation of green Citrus fruits,,local_cleaned_papers,LOCAL,RAW353,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW353
RAW521,Impact of Minimum Spanning Tree Algorithms on Extractive Arabic Text Summarization,,local_cleaned_papers,LOCAL,RAW354,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW354
RAW522,Prediction the Depth of Color of Cationised Cotton Fabric Dyed with Reactive Dyes Using Fuzzy Logic,,local_cleaned_papers,LOCAL,RAW355,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW355
RAW523,Control And Monitoring System Design Cultivation of Lettuce Using Method Aeroponics Based on Smart Farming,,local_cleaned_papers,LOCAL,RAW357,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW357
RAW524,Post-quantum digital signature algorithms on IoT,,local_cleaned_papers,LOCAL,RAW358,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW358
RAW525,Design and Implementation of an efficient IoT based approach to Supply Chain Management,,local_cleaned_papers,LOCAL,RAW359,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW359
RAW526,Event-Triggered Distributed Optimal Bipartite Consensus Control for Multi-Agent Systems,,local_cleaned_papers,LOCAL,RAW360,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW360
RAW527,Data-driven model predictive control (MPC) for irrigation management to optimize water and energy,,local_cleaned_papers,LOCAL,RAW361,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW361
RAW528,"Edge Computing-Enabled Smart Agriculture: Technical Architectures, Practical Evolution, and Bottleneck Breakthroughs",,local_cleaned_papers,LOCAL,RAW362,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW362
RAW529,Dragonfly-Inspired OLSR Protocol for Interference-Aware Seamless Connectivity in FANET,,local_cleaned_papers,LOCAL,RAW363,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW363
RAW530,Path planning for unmanned aerial vehicles in dynamic environments,,local_cleaned_papers,LOCAL,RAW364,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW364
RAW531,Next-generation lithium-ion batteries for electric vehicles: AI driven performance optimization,,local_cleaned_papers,LOCAL,RAW365,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW365
RAW532,Navigating ethics in wireless sensor networks for sustainable agriculture,,local_cleaned_papers,LOCAL,RAW367,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW367
RAW533,Bundled authenticated key exchange: a concrete treatment of (post-quantum) signal’s handshake protocol,,local_cleaned_papers,LOCAL,RAW368,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW368
RAW534,"Smart Farming Technologies: IoT, Sensors, and Data Analytics",,local_cleaned_papers,LOCAL,RAW369,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW369
RAW535,Self-Triggering Evolutionary Optimal Control of Multi-Modular Robot Manipulators,,local_cleaned_papers,LOCAL,RAW370,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW370
RAW536,Learning-based Pest Count Forecasting for Solar Insecticidal Lamps,,local_cleaned_papers,LOCAL,RAW371,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW371
RAW537,Sustainable food systems transformation in the face of climate change,,local_cleaned_papers,LOCAL,RAW372,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW372
RAW538,Sustainable Smart Irrigation System using solar PV with rainwater harvesting,,local_cleaned_papers,LOCAL,RAW373,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW373
RAW539,DP-MCR: A Bio-Inspired Multi-Constraint Routing Protocol for Delay-Resilient and Secure Communication,,local_cleaned_papers,LOCAL,RAW374,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW374
RAW540,Peregrine Falcon Optimization Routing Protocol for Hazardous Drone Ad-Hoc Networks,,local_cleaned_papers,LOCAL,RAW375,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW375
RAW541,Decentralized Dynamic Event-Triggered Communication and Active Suspension Control of In-Wheel Motor Driven Electric Vehicles,,local_cleaned_papers,LOCAL,RAW376,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW376
RAW542,Automated Greenhouses: IoT-Driven Climate Control,,local_cleaned_papers,LOCAL,RAW377,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW377
RAW543,Intelligent Offloading of IoT-Based Smart Agriculture Data in Edge-Cloud Continuum,,local_cleaned_papers,LOCAL,RAW378,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW378
RAW544,Analysis of multi-dimensional Industrial IoT (IIoT) data in Edge–Fog–Cloud based architectural frameworks,,local_cleaned_papers,LOCAL,RAW379,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW379
RAW545,Digital Technologies for Sustainable Development of Agri-Food: Implementation Guidelines Toward Industry 5.0,,local_cleaned_papers,LOCAL,RAW380,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW380
RAW546,"Foundation models in smart agriculture: Basics, opportunities, and challenges",,local_cleaned_papers,LOCAL,RAW381,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW381
RAW547,Co-design of dynamic event-triggered mechanism and observer-based control for networked systems,,local_cleaned_papers,LOCAL,RAW382,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW382
RAW548,Security Analysis in Smart Agriculture: Insights from a Cyber-Physical System Application,,local_cleaned_papers,LOCAL,RAW383,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW383
RAW549,Management Practices for Sustainable Agriculture in the Age of Smart Farming,,local_cleaned_papers,LOCAL,RAW384,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW384
RAW550,"Design, development, and evaluation of a low-cost smart greenhouse control system",,local_cleaned_papers,LOCAL,RAW386,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW386
RAW551,Cross-layer analysis of machine learning models for secure and energy-efficient IoT networks,,local_cleaned_papers,LOCAL,RAW387,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW387
RAW552,Design and development of IoT smart drip irrigation and fertigation prototype,,local_cleaned_papers,LOCAL,RAW388,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW388
RAW553,Virtual sensors for smart farming: An IoT-and AI-enabled approach,,local_cleaned_papers,LOCAL,RAW389,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW389
RAW554,Integrated Fluid Dynamics Modeling for Smart Agricultural Irrigation,,local_cleaned_papers,LOCAL,RAW391,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW391
RAW555,RL-Guided MPC for Autonomous Greenhouse Control,,local_cleaned_papers,LOCAL,RAW393,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW393
RAW556,Real-Time Respiratory Sound Classification For Remote Diagnostic Systems in Agriculture,,local_cleaned_papers,LOCAL,RAW394,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW394
RAW557,Development and evaluation of wireless sensor network (WSN) based automated drip irrigation system,,local_cleaned_papers,LOCAL,RAW395,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW395
RAW558,Hybrid LoRaWAN–MQTT Architecture for Portable Smart Greenhouses,,local_cleaned_papers,LOCAL,RAW396,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW396
RAW559,Observer-based AE-T cooperative DMPC for a class of interconnected nonlinear systems,,local_cleaned_papers,LOCAL,RAW397,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW397
RAW560,CropSynergy: Harnessing IoT Solutions for Smart and Efficient Crop Management,,local_cleaned_papers,LOCAL,RAW398,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW398
RAW561,Stable Plithogenic Cubic Sets in Agricultural Decision Making,,local_cleaned_papers,LOCAL,RAW399,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW399
RAW562,A platform to support the fast development of digital twins for agricultural holdings,,local_cleaned_papers,LOCAL,RAW400,DOI exact match or normalized title similarity >= 0.94,D01_duplicate_of_RAW400
