id,title,year,venue,doi_url,prisma_status,pnce_status,metadata_status,replacement_key,verification_note
S15,Event-Triggered Control for Scalar Networked Systems with Random Delays,2025,2025 6th International Conference on Artificial Intelligence and Electromechanical Automation (AIEA),https://doi.org/10.1109/aiea66061.2025.11160534,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S16,Energy-Efficient Wireless Communication Strategy for Precision Agriculture Irrigation Control,2021,Sensors,https://doi.org/10.3390/s21165541,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S17,Self-triggered Control with Energy Harvesting Sensor Nodes,2023,ACM Transactions on Cyber-Physical Systems,https://doi.org/10.1145/3597311,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S18,A Sensitivity-Based Approach to Self-Triggered Nonlinear Model Predictive Control,2024,IEEE Access,https://doi.org/10.1109/access.2024.3480522,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S19,Self-Triggered DMPC for Dynamically Coupled Systems With Reduced Conservatism,2025,IEEE Transactions on Industrial Informatics,https://doi.org/10.1109/tii.2025.3593862,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S20,Self-Triggered Distributed Model Predictive Control with Synchronization Parameters Interaction,2024,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2405.11006,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S21,Event-Based Sensor Data Scheduling: Trade-Off Between Communication Rate and Estimation Quality,2013,IEEE Transactions on Automatic Control,https://doi.org/10.1109/tac.2012.2215253,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S22,A survey on recent advances in event-triggered communication and control,2018,Information Sciences,,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified replacement,peng2018survey,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S23,Data-driven-based fully distributed event-triggered control for nonlinear multi-agent systems,2025,Applied Mathematics and Computation,https://doi.org/10.1016/j.amc.2025.129307,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S24,Event-Triggered Distributed Optimal Bipartite Consensus Control for Multi-Agent Systems via Adaptive Dynamic Programming,2025,"2025 10th International Conference on Control, Robotics and Cybernetics (CRC)",https://doi.org/10.1109/crc67523.2025.11288265,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S25,Disturbance Rejection Self-Triggered Distributed MPC With Adaptive Prediction Horizon for Asynchronous Multiagent Systems,2024,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",https://doi.org/10.1109/tsmc.2024.3350157,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S26,Semi–Global Exponential Stabilization of Nonlinear Time–Delay Systems via Sampled–Data Event–Triggered Controllers,2025,2025 IEEE 64th Conference on Decision and Control (CDC),https://doi.org/10.1109/cdc57313.2025.11312052,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S27,Observer-based AE-T cooperative DMPC for a class of interconnected nonlinear systems with time delay and unmodeled dynamics,2025,International Journal of Systems Science,https://doi.org/10.1080/00207721.2025.2467224,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S28,The event-triggered sampling optimization criterion for distributed networked monitoring and control systems,2003,"IEEE International Conference on Industrial Technology, 2003",10.1109/icit.2003.1290814,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S29,Stability of output event-based control systems through quadratic trigger functions,2015,2015 IEEE 20th Conference on Emerging Technologies &amp; Factory Automation (ETFA),https://doi.org/10.1109/etfa.2015.7301402,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S30,A Learning Approach for Joint Design of Event-Triggered Control and Power-Efficient Resource Allocation,2022,IEEE Transactions on Vehicular Technology,https://doi.org/10.1109/tvt.2022.3159739,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S31,Intelligent Condensation Irrigation System Based on Internet of Things,2023,"2023 5th International Conference on Intelligent Control, Measurement and Signal Processing (ICMSP)",https://doi.org/10.1109/icmsp58539.2023.10170873,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S32,"Control, And Monitoring System Design Cultivation of Lettude Using Method Aeroponics Based on Smart Farming",2025,"2025 19th International Conference on Telecommunication Systems, Services, and Applications (TSSA)",https://doi.org/10.1109/tssa68467.2025.11303843,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S33,"Control, And Monitoring System Design Cultivation of Lettude Using Method Aeroponics Based on Smart Farming",2025,"2025 19th International Conference on Telecommunication Systems, Services, and Applications (TSSA)",https://doi.org/10.1109/tssa68467.2025.11303843,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S34,Design and performance of nutrient dosing control system for hydroponic chilli plant using fuzzy logic controller,2025,"Journal of Mechatronics, Electrical Power, and Vehicular Technology",https://doi.org/10.55981/j.mev.2025.910,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S35,Smart greenhouse construction and irrigation control system for optimal Brassica Juncea development,2023,Plos one,https://doi.org/10.1371/journal.pone.0292971,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified replacement,huynh2023smart,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S36,Design and Development of IoT Smart Drip Irrigation and Fertigation Prototype for Small and Medium Scale Farmers. Acase Study of Tomato Farmers in Tanzania,2025,Journal of The Institution of Engineers (India): Series A,https://doi.org/10.1007/s40030-024-00857-7,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S37,IoT-Enabled Adaptive Watering System With ARIMA-Based Soil Moisture Prediction for Smart Agriculture,2025,IEEE Access,https://doi.org/10.1109/access.2025.3532447,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S38,"Smart IoT Irrigation System Based on Fuzzy Logic, LoRa, and Cloud Integration",2024,Electronics,https://doi.org/10.3390/electronics13101949,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S39,Evaluation of event-based irrigation system control scheme for tomato crops in greenhouses,2017,Agricultural Water Management,https://doi.org/10.1016/j.agwat.2016.08.008,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S40,System Design of Online Monitoring and Controlling System Based on Zigbee in Greenhouse,2015,IFIP Advances in Information and Communication Technology,https://doi.org/10.1007/978-3-319-19620-6_76,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S41,Research on Precision Paddy Field Irrigation Control Technology Based on Multi-Source Sensing Hybrid Model,2025,Digital Intelligence in Agriculture,https://doi.org/10.62762/dia.2025.680966,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S42,Sustainable Smart Irrigation System (SIS) using solar PV with rainwater harvesting technique for indoor plants,2025,PLOS ONE,https://doi.org/10.1371/journal.pone.0316911,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S43,A Solar-Powered Fertigation System Based on Low-Cost Wireless Sensor Network Remotely Controlled by Farmer for Irrigation Cycles and Crops Growth Optimization,2020,International Journal of Electronics and Telecommunications,https://doi.org/10.24425/ijet.2019.130266,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S44,Design and Implementation of an Autonomous Intelligent Fertigation System for Cross-Regional Applications,2025,Actuators,https://doi.org/10.3390/act14090413,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S45,Research and Development of an IoT Smart Irrigation System for Farmland Based on LoRa and Edge Computing,2025,Agronomy,https://doi.org/10.3390/agronomy15020366,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S46,Leveraging LoRaWAN technology for precision agriculture in greenhouses,2020,Sensors,https://doi.org/10.3390/s20071827,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified replacement,singh2020leveraging,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S47,"Hybrid LoRaWAN–MQTT Architecture for Portable Smart Greenhouses: Cross-Layer Validation of Latency, Energy, and ADMR Trade-Offs",2025,IEEE Access,https://doi.org/10.1109/access.2025.3643617,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S48,LoRa-Based Smart Agriculture Monitoring and Automatic Irrigation System,2025,Journal of Computer and Communications,https://doi.org/10.4236/jcc.2025.133001,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S49,Wireless sensor networks for greenhouse climate and plant condition assessment,2017,Biosystems engineering,https://doi.org/10.1016/j.biosystemseng.2016.11.005,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified replacement,ferentinos2017wireless,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S50,WIRELESS SENSOR NETWORK BASED REMOTE DRIP IRRIGATION SYSTEM,2018,Mühendislik Bilimleri ve Tasarım Dergisi,https://doi.org/10.21923/jesd.443576,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S51,IoT Based Smart Automated Agriculture and Real Time Monitoring System,2021,2021 2nd International Conference on Smart Electronics and Communication (ICOSEC),https://doi.org/10.1109/icosec51865.2021.9591855,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S52,"Design, Implementation, and Empirical Validation of an IoT Smart Irrigation System for Fog Computing Applications Based on LoRa and LoRaWAN Sensor Nodes",2020,Sensors,https://doi.org/10.3390/s20236865,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S53,Research and Development of an IoT Smart Irrigation System for Farmland Based on LoRa and Edge Computing,2025,Agronomy,https://doi.org/10.3390/agronomy15020366,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S54,"Hybrid LoRaWAN–MQTT Architecture for Portable Smart Greenhouses: Cross-Layer Validation of Latency, Energy, and ADMR Trade-Offs",2025,IEEE Access,https://doi.org/10.1109/access.2025.3643617,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S55,Design of IoT Monitoring System Based on LoRaWAN Architecture for Smart Green House,2022,IOP Conference Series: Earth and Environmental Science,https://doi.org/10.1088/1755-1315/1012/1/012090,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S56,Research and Design of Greenhouse Environment Monitoring System Based on NB-IoT,2021,2021 33rd Chinese Control and Decision Conference (CCDC),https://doi.org/10.1109/ccdc52312.2021.9601377,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S57,Smart Agriculture: Automated Controlled Monitoring System using Internet of Things,2019,International Journal of Recent Technology and Engineering (IJRTE),https://doi.org/10.35940/ijrte.c6538.098319,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S58,Wireless sensor network to identify the reduction of meteorological gradients in greenhouse in subtropical conditions,2020,Journal of Agricultural Engineering,https://doi.org/10.4081/jae.2020.1105,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S59,Smart Water Management Platform: IoT-Based Precision Irrigation for Agriculture,2019,Sensors,https://doi.org/10.3390/s19020276,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S60,Monitoring Citrus Soil Moisture and Nutrients Using an IoT Based System,2017,Sensors,https://doi.org/10.3390/s17030447,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S61,Using a Novel Wireless-Networked Decentralized Control Scheme under Unpredictable Environmental Conditions,2015,Sensors,https://doi.org/10.3390/s151128690,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S62,A High Availability Networked Control System Architecture for Precision Agriculture,2018,2018 International Conference on Computer and Applications (ICCA),https://doi.org/10.1109/comapp.2018.8460420,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S63,A layered IoT architecture for greenhouse monitoring and remote control,2019,SN Applied Sciences,https://doi.org/10.1007/s42452-019-0227-8,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S64,Context-aware control and monitoring system with IoT and cloud support,2019,Computers and Electronics in Agriculture,https://doi.org/10.1016/j.compag.2019.03.005,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S65,"Stability analysis for networked control systems with sampling, transmission protocols and input delays",2021,Nonlinear Analysis: Hybrid Systems,https://doi.org/10.1016/j.nahs.2020.100974,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S66,Robust Wireless Sensor and Actuator Networks for Networked Control Systems,2019,Sensors,https://doi.org/10.3390/s19071535,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S67,Smart &amp; Green: An Internet-of-Things Framework for Smart Irrigation,2019,Sensors,https://doi.org/10.3390/s20010190,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
S68,Smart greenhouse construction and irrigation control system for optimal Brassica Juncea development,2023,PLOS ONE,https://doi.org/10.1371/journal.pone.0292971,Included in final 68 core studies,Eligible for PNCE coding in thesis scope,verified original seed,,DOI verified/record retained when DOI is present; title-year-venue retained for records without DOI
