id,title,application_class,application_conf,protocol_class,protocol_conf,control_strategy,control_conf,evidence_note
S21,"Event-Based Sensor Data Scheduling: Trade-Off Between Communication Rate and Estimation Quality",ncs_iot_platform,medium,unspecified,low,ETC_event_triggered,high,"title: 'Event-Based Sensor Data Scheduling'"
S22,"A survey on recent advances in event-triggered communication and control",ncs_iot_platform,medium,unspecified,low,none_review,high,"title: 'A survey on ... event-triggered communication and control' (review, no proposed strategy)"
S23,"Data-driven-based fully distributed event-triggered control for nonlinear multi-agent systems",ncs_iot_platform,medium,unspecified,low,ETC_event_triggered,high,"title: 'fully distributed event-triggered control for nonlinear multi-agent'"
S24,"Event-Triggered Distributed Optimal Bipartite Consensus Control for Multi-Agent Systems via Adaptive Dynamic Programming",ncs_iot_platform,medium,unspecified,low,ETC_event_triggered,high,"title: 'Event-Triggered Distributed Optimal Bipartite Consensus Control'"
S25,"Disturbance Rejection Self-Triggered Distributed MPC With Adaptive Prediction Horizon for Asynchronous Multiagent Systems",ncs_iot_platform,medium,unspecified,low,hybrid,high,"title: 'Self-Triggered Distributed MPC ... Multiagent' (ETC + MPC)"
S26,"Semi-Global Exponential Stabilization of Nonlinear Time-Delay Systems via Sampled-Data Event-Triggered Controllers",ncs_iot_platform,medium,unspecified,low,ETC_event_triggered,high,"title: 'Sampled-Data Event-Triggered Controllers'"
S27,"Observer-based AE-T cooperative DMPC for a class of interconnected nonlinear systems with time delay and unmodeled dynamics",ncs_iot_platform,medium,unspecified,low,hybrid,high,"title: 'AE-T cooperative DMPC' (adaptive event-triggered + distributed MPC)"
S28,"The event-triggered sampling optimization criterion for distributed networked monitoring and control systems",ncs_iot_platform,high,unspecified,low,ETC_event_triggered,high,"title: 'event-triggered sampling ... distributed networked monitoring and control'"
S29,"Stability of output event-based control systems through quadratic trigger functions",ncs_iot_platform,medium,unspecified,low,ETC_event_triggered,high,"title: 'output event-based control systems ... trigger functions'"
S30,"A Learning Approach for Joint Design of Event-Triggered Control and Power-Efficient Resource Allocation",ncs_iot_platform,medium,unspecified,low,hybrid,high,"title: 'Learning Approach for Joint Design of Event-Triggered Control' (ML + ETC)"
S31,"Intelligent Condensation Irrigation System Based on Internet of Things",irrigation_outdoor,medium,unspecified,low,unspecified,low,"title: 'Intelligent Condensation Irrigation System Based on Internet of Things' ('intelligent' vague, no named strategy)"
S32,"Control, And Monitoring System Design Cultivation of Lettude Using Method Aeroponics Based on Smart Farming",greenhouse_microclimate,low,unspecified,low,unspecified,low,"title: 'Cultivation ... Aeroponics ... Smart Farming' (controlled-environment, not clearly greenhouse; verify)"
S33,"Control, And Monitoring System Design Cultivation of Lettude Using Method Aeroponics Based on Smart Farming",greenhouse_microclimate,low,unspecified,low,unspecified,low,"duplicate of S32; same title/DOI"
S34,"Design and performance of nutrient dosing control system for hydroponic chilli plant using fuzzy logic controller",greenhouse_microclimate,low,unspecified,low,Fuzzy_PID,high,"title: 'fuzzy logic controller' for hydroponic nutrient dosing (application=controlled-env, verify)"
S35,"Smart greenhouse construction and irrigation control system for optimal Brassica Juncea development",greenhouse_microclimate,high,unspecified,low,unspecified,low,"title: 'Smart greenhouse ... irrigation control system' (no named control strategy)"
S36,"Design and Development of IoT Smart Drip Irrigation and Fertigation Prototype for Small and Medium Scale Farmers. Acase Study of Tomato Farmers in Tanzania",irrigation_outdoor,medium,unspecified,low,unspecified,low,"title: 'IoT Smart Drip Irrigation and Fertigation ... tomato farmers'"
S37,"IoT-Enabled Adaptive Watering System With ARIMA-Based Soil Moisture Prediction for Smart Agriculture",irrigation_outdoor,medium,unspecified,low,unspecified,low,"title: 'ARIMA-Based Soil Moisture Prediction' (forecasting, not a control strategy in taxonomy)"
S38,"Smart IoT Irrigation System Based on Fuzzy Logic, LoRa, and Cloud Integration",irrigation_outdoor,medium,LoRaWAN_LPWAN,high,Fuzzy_PID,high,"title: 'Fuzzy Logic, LoRa, and Cloud Integration'"
S39,"Evaluation of event-based irrigation system control scheme for tomato crops in greenhouses",greenhouse_microclimate,high,unspecified,low,ETC_event_triggered,high,"title: 'event-based irrigation system control scheme ... tomato crops in greenhouses'"
S40,"System Design of Online Monitoring and Controlling System Based on Zigbee in Greenhouse",greenhouse_microclimate,high,ZigBee,high,unspecified,low,"title: 'Based on Zigbee in Greenhouse' (monitoring/controlling, no named strategy)"
S41,"Research on Precision Paddy Field Irrigation Control Technology Based on Multi-Source Sensing Hybrid Model",irrigation_outdoor,high,unspecified,low,unspecified,low,"title: 'Precision Paddy Field Irrigation ... Multi-Source Sensing Hybrid Model' (hybrid refers to model, not control)"
S42,"Sustainable Smart Irrigation System (SIS) using solar PV with rainwater harvesting technique for indoor plants",irrigation_outdoor,low,unspecified,low,unspecified,low,"title: '... for indoor plants' (indoor conflicts with outdoor; verify application)"
S43,"A Solar-Powered Fertigation System Based on Low-Cost Wireless Sensor Network Remotely Controlled by Farmer for Irrigation Cycles and Crops Growth Optimization",irrigation_outdoor,medium,unspecified,low,unspecified,low,"title: 'Fertigation System ... Wireless Sensor Network ... Irrigation Cycles' (remotely controlled by farmer, no algorithm)"
S44,"Design and Implementation of an Autonomous Intelligent Fertigation System for Cross-Regional Applications",irrigation_outdoor,medium,unspecified,low,unspecified,low,"title: 'Autonomous Intelligent Fertigation System' ('intelligent' vague, no named strategy)"
S45,"Research and Development of an IoT Smart Irrigation System for Farmland Based on LoRa and Edge Computing",irrigation_outdoor,high,LoRaWAN_LPWAN,high,unspecified,low,"title: 'Smart Irrigation ... for Farmland Based on LoRa and Edge Computing'"
S46,"Leveraging LoRaWAN technology for precision agriculture in greenhouses",greenhouse_microclimate,high,LoRaWAN_LPWAN,high,unspecified,low,"title: 'Leveraging LoRaWAN ... in greenhouses' (networking paper, no control strategy)"
S47,"Hybrid LoRaWAN-MQTT Architecture for Portable Smart Greenhouses: Cross-Layer Validation of Latency, Energy, and ADMR Trade-Offs",greenhouse_microclimate,high,LoRaWAN_LPWAN,high,unspecified,low,"title: 'Hybrid LoRaWAN-MQTT Architecture for ... Smart Greenhouses' ('hybrid' = networking, not control)"
S48,"LoRa-Based Smart Agriculture Monitoring and Automatic Irrigation System",irrigation_outdoor,medium,LoRaWAN_LPWAN,high,unspecified,low,"title: 'LoRa-Based ... Automatic Irrigation System'"
S49,"Wireless sensor networks for greenhouse climate and plant condition assessment",greenhouse_microclimate,high,unspecified,low,unspecified,low,"title: 'Wireless sensor networks for greenhouse climate ... assessment' (WSN protocol not named; monitoring)"
S50,"WIRELESS SENSOR NETWORK BASED REMOTE DRIP IRRIGATION SYSTEM",irrigation_outdoor,high,unspecified,low,unspecified,low,"title: 'WIRELESS SENSOR NETWORK BASED REMOTE DRIP IRRIGATION' (WSN protocol not named)"
S51,"IoT Based Smart Automated Agriculture and Real Time Monitoring System",ncs_iot_platform,medium,unspecified,low,unspecified,low,"title: 'IoT Based Smart Automated Agriculture ... Monitoring System' (generic platform)"
S52,"Design, Implementation, and Empirical Validation of an IoT Smart Irrigation System for Fog Computing Applications Based on LoRa and LoRaWAN Sensor Nodes",irrigation_outdoor,medium,LoRaWAN_LPWAN,high,unspecified,low,"title: '... Based on LoRa and LoRaWAN Sensor Nodes'"
S53,"Research and Development of an IoT Smart Irrigation System for Farmland Based on LoRa and Edge Computing",irrigation_outdoor,high,LoRaWAN_LPWAN,high,unspecified,low,"duplicate of S45; title/DOI identical"
S54,"Hybrid LoRaWAN-MQTT Architecture for Portable Smart Greenhouses: Cross-Layer Validation of Latency, Energy, and ADMR Trade-Offs",greenhouse_microclimate,high,LoRaWAN_LPWAN,high,unspecified,low,"duplicate of S47; title/DOI identical"
S55,"Design of IoT Monitoring System Based on LoRaWAN Architecture for Smart Green House",greenhouse_microclimate,high,LoRaWAN_LPWAN,high,unspecified,low,"title: 'LoRaWAN Architecture for Smart Green House' (monitoring)"
S56,"Research and Design of Greenhouse Environment Monitoring System Based on NB-IoT",greenhouse_microclimate,high,NB-IoT,high,unspecified,low,"title: 'Greenhouse Environment Monitoring System Based on NB-IoT'"
S57,"Smart Agriculture: Automated Controlled Monitoring System using Internet of Things",ncs_iot_platform,medium,unspecified,low,unspecified,low,"title: 'Automated Controlled Monitoring System using Internet of Things' (generic IoT platform)"
S58,"Wireless sensor network to identify the reduction of meteorological gradients in greenhouse in subtropical conditions",greenhouse_microclimate,high,unspecified,low,unspecified,low,"title: 'Wireless sensor network ... meteorological gradients in greenhouse' (measurement study)"
S59,"Smart Water Management Platform: IoT-Based Precision Irrigation for Agriculture",irrigation_outdoor,medium,unspecified,low,unspecified,low,"title: 'Smart Water Management Platform ... Precision Irrigation'"
S60,"Monitoring Citrus Soil Moisture and Nutrients Using an IoT Based System",irrigation_outdoor,medium,unspecified,low,unspecified,low,"title: 'Monitoring Citrus Soil Moisture and Nutrients ... IoT' (citrus orchard, monitoring)"
S61,"Using a Novel Wireless-Networked Decentralized Control Scheme under Unpredictable Environmental Conditions",ncs_iot_platform,medium,unspecified,low,unspecified,low,"title: 'Wireless-Networked Decentralized Control Scheme' (scheme type not in taxonomy)"
S62,"A High Availability Networked Control System Architecture for Precision Agriculture",ncs_iot_platform,high,unspecified,low,unspecified,low,"title: 'Networked Control System Architecture for Precision Agriculture'"
S63,"A layered IoT architecture for greenhouse monitoring and remote control",greenhouse_microclimate,medium,unspecified,low,unspecified,low,"title: 'layered IoT architecture for greenhouse monitoring and remote control' (could also be ncs_iot_platform)"
S64,"Context-aware control and monitoring system with IoT and cloud support",ncs_iot_platform,medium,unspecified,low,unspecified,low,"title: 'Context-aware control and monitoring system with IoT and cloud' (no crop, generic platform)"
S65,"Stability analysis for networked control systems with sampling, transmission protocols and input delays",ncs_iot_platform,medium,unspecified,low,unspecified,low,"title: 'Stability analysis for networked control systems ... transmission protocols' (NCS theory; protocols generic)"
S66,"Robust Wireless Sensor and Actuator Networks for Networked Control Systems",ncs_iot_platform,high,unspecified,low,unspecified,low,"title: 'Wireless Sensor and Actuator Networks for Networked Control Systems'"
S67,"Smart & Green: An Internet-of-Things Framework for Smart Irrigation",irrigation_outdoor,medium,unspecified,low,unspecified,low,"title: 'Internet-of-Things Framework for Smart Irrigation'"
S68,"Smart greenhouse construction and irrigation control system for optimal Brassica Juncea development",greenhouse_microclimate,high,unspecified,low,unspecified,low,"duplicate of S35; title/DOI identical"
