id,appendix_title,appendix_year,appendix_doi,verified_title,verified_year,verified_authors,verified_doi,match_score,match_status,provider,is_year_mismatch,raw_content
S034,Smart greenhouse construction and irrigation control system for optimal Brassica Juncea development,2023,,Smart greenhouse construction and irrigation control system for optimal Brassica Juncea development,2023,"Huynh, Hiep Xuan, Tran, Linh Nhut, Duong-Trung, Nghia",10.1371/journal.pone.0292971,1.0,high,crossref,no,Smart greenhouse construction and irrigation control system for optimal Brassica Juncea development (2023).
S035,Design and Development of IoT Smart Drip Irrigation and Fertigation Prototype for Small and Medium Scale Farmers...,2025,,Design and Development of IoT Smart Drip Irrigation and Fertigation Prototype for Small and Medium Scale Farmers. Acase Study of Tomato Farmers in Tanzania,2025,"Ngoma, Daniel H., Nkongo, Dickson, Abdul-Rahman, Humoud M., Muna, Baraka H., Buberwa, Aneth P., Ngaiza, Edison, Rhee, Herb",10.1007/s40030-024-00857-7,0.842,medium,crossref,no,Design and Development of IoT Smart Drip Irrigation and Fertigation Prototype for Small and Medium Scale Farmers... (2025).
S036,IoT-Enabled Adaptive Watering System With ARIMA-Based Soil Moisture Prediction for Smart Agriculture,2025,,IoT-Enabled Adaptive Watering System With ARIMA-Based Soil Moisture Prediction for Smart Agriculture,2025,"Afzal, Muhammad, Ahmed Saeed, Iftikhar, Noman Sohail, Muhammad, Hanif Md Saad, Mohamad, Sarker, Mahidur R.",10.1109/access.2025.3532447,1.0,high,crossref,no,IoT-Enabled Adaptive Watering System With ARIMA-Based Soil Moisture Prediction for Smart Agriculture (2025).
S037,"Smart IoT Irrigation System Based on Fuzzy Logic, LoRa, and Cloud Integration",2024,,"Smart IoT Irrigation System Based on Fuzzy Logic, LoRa, and Cloud Integration",2024,"Artetxe, Eneko, Barambones, Oscar, Martín Toral, Imanol, Uralde, Jokin, Calvo, Isidro, del Rio, Asier",10.3390/electronics13101949,1.0,high,crossref,no,"Smart IoT Irrigation System Based on Fuzzy Logic, LoRa, and Cloud Integration (2024)."
S038,Evaluation of event-based irrigation system control scheme for tomato crops in greenhouses,2017,,Evaluation of event-based irrigation system control scheme for tomato crops in greenhouses,2017,"Pawlowski, A., Sánchez-Molina, J.A., Guzmán, J.L., Rodríguez, F., Dormido, S.",10.1016/j.agwat.2016.08.008,1.0,high,crossref,no,Evaluation of event-based irrigation system control scheme for tomato crops in greenhouses (2017).
S039,System Design of Online Monitoring and Controlling System Based on Zigbee in Greenhouse,2015,,System Design of Online Monitoring and Controlling System Based on Zigbee in Greenhouse,2015,"Li, Fengmei, Wei, Yaoguang, Chen, Yingyi, Zhang, Xu",10.1007/978-3-319-19620-6_76,1.0,high,crossref,no,System Design of Online Monitoring and Controlling System Based on Zigbee in Greenhouse (2015).
S040,Research on Precision Paddy Field Irrigation Control Technology Based on Multi-Source Sensing Hybrid Model,2025,,Research on Precision Paddy Field Irrigation Control Technology Based on Multi-Source Sensing Hybrid Model,2025,"Zhang, Hongliang, Xu, Hongxi, Zhu, Meimei, Zeng, Min, Zhao, Xiaojing, Wu, Hongfeng",10.62762/dia.2025.680966,1.0,high,crossref,no,Research on Precision Paddy Field Irrigation Control Technology Based on Multi-Source Sensing Hybrid Model (2025).
S041,Sustainable Smart Irrigation System (SIS) using solar PV with rainwater harvesting technique for indoor plants,2025,,Sustainable Smart Irrigation System (SIS) using solar PV with rainwater harvesting technique for indoor plants,2025,"Islam, Syed Zahurul, Kamarudin, Muhammad Saufi Bin, Abdullah, Mohd Noor Bin, Mohaffyza, Mimi, Sern, Lai Chee, Othman, Mohammad Lutfi, Uddin, Jasim",10.1371/journal.pone.0316911,1.0,high,crossref,no,Sustainable Smart Irrigation System (SIS) using solar PV with rainwater harvesting technique for indoor plants (2025).
S042,A Solar-Powered Fertigation System Based on Low-Cost Wireless Sensor Network Remotely Controlled by Farmer for I...,2020,,A Solar-Powered Fertigation System Based on Low-Cost Wireless Sensor Network Remotely Controlled by Farmer for Irrigation Cycles and Crops Growth Optimization,2020,"Visconti, P., de Fazio, R., Primiceri, P., Cafagna, D., Strazzella, S., Giannoccaro, N.I.",10.24425/ijet.2019.130266,0.83,medium,crossref,no,A Solar-Powered Fertigation System Based on Low-Cost Wireless Sensor Network Remotely Controlled by Farmer for I... (2020).
S043,Design and Implementation of an Autonomous Intelligent Fertigation System for Cross-Regional Applications,2025,,Design and Implementation of an Autonomous Intelligent Fertigation System for Cross-Regional Applications,2025,"Tang, Ruizhi, Hu, Hanhong, Lin, Hai, Li, Jiahao, Wang, Zian, Zhu, Guanquan, Mei, Ziyou, Dai, Jietao",10.3390/act14090413,1.0,high,crossref,no,Design and Implementation of an Autonomous Intelligent Fertigation System for Cross-Regional Applications (2025).
S044,Research and Development of an IoT Smart Irrigation System for Farmland Based on LoRa and Edge Computing,2025,,Research and Development of an IoT Smart Irrigation System for Farmland Based on LoRa and Edge Computing,2025,"Zhang, Ying, Wang, Xingchen, Jin, Liyong, Ni, Jun, Zhu, Yan, Cao, Weixing, Jiang, Xiaoping",10.3390/agronomy15020366,1.0,high,crossref,no,Research and Development of an IoT Smart Irrigation System for Farmland Based on LoRa and Edge Computing (2025).
S045,Leveraging LoRaWAN technology for precision agriculture in greenhouses,2020,,Leveraging LoRaWAN Technology for Precision Agriculture in Greenhouses,2020,"Singh, Ritesh, Aernouts, Michiel, De Meyer, Mats, Weyn, Maarten, Berkvens, Rafael",10.3390/s20071827,1.0,high,crossref,no,Leveraging LoRaWAN technology for precision agriculture in greenhouses (2020).
S046,"Hybrid LoRaWAN--MQTT Architecture for Portable Smart Greenhouses: Cross-Layer Validation of Latency, Energy, and ...",2025,,"Hybrid LoRaWAN–MQTT Architecture for Portable Smart Greenhouses: Cross-Layer Validation of Latency, Energy, and ADMR Trade-Offs",2025,"Perdana, Doan, Lorenz, Pascal, Hartati, Sri, Fadlilah, Umi, Cahyo Handoyo, Gani",10.1109/access.2025.3643617,0.931,high,crossref,no,"Hybrid LoRaWAN--MQTT Architecture for Portable Smart Greenhouses: Cross-Layer Validation of Latency, Energy, and ... (2025)."
S047,LoRa-Based Smart Agriculture Monitoring and Automatic Irrigation System,2025,,LoRa-Based Smart Agriculture Monitoring and Automatic Irrigation System,2025,"Enock, Kayembe Sagali, Sagali, Mungusa Jonas, Jeannick, Umba Ilunga, Chen, Daru",10.4236/jcc.2025.133001,1.0,high,crossref,no,LoRa-Based Smart Agriculture Monitoring and Automatic Irrigation System (2025).
S048,Wireless sensor networks for greenhouse climate and plant condition assessment,2017,,Wireless sensor networks for greenhouse climate and plant condition assessment,2017,"Ferentinos, Konstantinos P., Katsoulas, Nikolaos, Tzounis, Antonis, Bartzanas, Thomas, Kittas, Constantinos",10.1016/j.biosystemseng.2016.11.005,1.0,high,crossref,no,Wireless sensor networks for greenhouse climate and plant condition assessment (2017).
S049,WIRELESS SENSOR NETWORK BASED REMOTE DRIP IRRIGATION SYSTEM,2018,,WIRELESS SENSOR NETWORK BASED REMOTE DRIP IRRIGATION SYSTEM,2018,"Bingöl, Okan, Özkaya, Burçin, Bayram, Mustafa",10.21923/jesd.443576,1.0,high,crossref,no,WIRELESS SENSOR NETWORK BASED REMOTE DRIP IRRIGATION SYSTEM (2018).
S050,IoT Based Smart Automated Agriculture and Real Time Monitoring System,2021,,IoT Based Smart Automated Agriculture and Real Time Monitoring System,2021,"Shamrat, F. M. Javed Mehedi, Hossain, Alamin, Roy, Tonmoy, Adeeb Khan, Md Ahasanul, Khater, Ankit, Rahman, Md Tareq",10.1109/icosec51865.2021.9591855,1.0,high,crossref,no,IoT Based Smart Automated Agriculture and Real Time Monitoring System (2021).
S051,"Design, Implementation, and Empirical Validation of an IoT Smart Irrigation System for Fog Computing Application...",2020,,"Design, Implementation, and Empirical Validation of an IoT Smart Irrigation System for Fog Computing Applications Based on LoRa and LoRaWAN Sensor Nodes",2020,"Froiz-Míguez, Iván, Lopez-Iturri, Peio, Fraga-Lamas, Paula, Celaya-Echarri, Mikel, Blanco-Novoa, Óscar, Azpilicueta, Leyre, Falcone, Francisco, Fernández-Caramés, Tiago M.",10.3390/s20236865,0.846,medium,crossref,no,"Design, Implementation, and Empirical Validation of an IoT Smart Irrigation System for Fog Computing Application... (2020)."
S052,Design of IoT Monitoring System Based on LoRaWAN Architecture for Smart Green House,2022,,Design of IoT Monitoring System Based on LoRaWAN Architecture for Smart Green House,2022,"Dwi Putra, Septafiansyah, Olivia Sereati, Catherine, Sutrisno, Hery",10.1088/1755-1315/1012/1/012090,1.0,high,crossref,no,Design of IoT Monitoring System Based on LoRaWAN Architecture for Smart Green House (2022).
S053,Research and Design of Greenhouse Environment Monitoring System Based on NB-IoT,2021,,Research and Design of Greenhouse Environment Monitoring System Based on NB-IoT,2021,"Yang, Jiajian, Xu, Zhenfeng, Sun, Qiang",10.1109/ccdc52312.2021.9601377,1.0,high,crossref,no,Research and Design of Greenhouse Environment Monitoring System Based on NB-IoT (2021).
S054,Smart Agriculture: Automated Controlled Monitoring System using Internet of Things,2019,,Smart Agriculture: Automated Controlled Monitoring System using Internet of Things,2019,", , Rao*, M. Srinivasa, Suresh, Dr. E., , , Sivanagaraju, P., , , Kavati, Ilaiah, , ",10.35940/ijrte.c6538.098319,1.0,high,crossref,no,Smart Agriculture: Automated Controlled Monitoring System using Internet of Things (2019).
S055,Wireless sensor network to identify the reduction of meteorological gradients in greenhouse in subtropical condi...,2020,,Wireless sensor network to identify the reduction of meteorological gradients in greenhouse in subtropical conditions,2020,"Queiroz Zorzeto Cesar, Thais, Ademar Martins Leal, Paulo, Carvalho Branquinho, Omar, Moura Miranda, Felipe Antonio",10.4081/jae.2020.1105,0.978,high,crossref,no,Wireless sensor network to identify the reduction of meteorological gradients in greenhouse in subtropical condi... (2020).
S056,Smart Water Management Platform: IoT-Based Precision Irrigation for Agriculture,2019,,Smart Water Management Platform: IoT-Based Precision Irrigation for Agriculture,2019,"Kamienski, Carlos, Soininen, Juha-Pekka, Taumberger, Markus, Dantas, Ramide, Toscano, Attilio, Salmon Cinotti, Tullio, Filev Maia, Rodrigo, Torre Neto, André",10.3390/s19020276,1.0,high,crossref,no,Smart Water Management Platform: IoT-Based Precision Irrigation for Agriculture (2019).
S057,Monitoring Citrus Soil Moisture and Nutrients Using an IoT Based System,2017,,Monitoring Citrus Soil Moisture and Nutrients Using an IoT Based System,2017,"Zhang, Xueyan, Zhang, Jianwu, Li, Lin, Zhang, Yuzhu, Yang, Guocai",10.3390/s17030447,1.0,high,crossref,no,Monitoring Citrus Soil Moisture and Nutrients Using an IoT Based System (2017).
S058,Using a Novel Wireless-Networked Decentralized Control Scheme under Unpredictable Environmental Conditions,2015,,Using a Novel Wireless-Networked Decentralized Control Scheme under Unpredictable Environmental Conditions,2015,"Chang, Chung-Liang, Huang, Yi-Ming, Hong, Guo-Fong",10.3390/s151128690,1.0,high,crossref,no,Using a Novel Wireless-Networked Decentralized Control Scheme under Unpredictable Environmental Conditions (2015).
S059,A High Availability Networked Control System Architecture for Precision Agriculture,2018,,A High Availability Networked Control System Architecture for Precision Agriculture,2018,"Ibrahim, Hassan, Mostafa, Norhan, Halawa, Hassan, Elsalamouny, Malak, Daoud, Ramez, Amer, Hassanein, Shaarawi, Amr, Khattab, Ahmed, ElSayed, Hany",10.1109/comapp.2018.8460420,1.0,high,crossref,no,A High Availability Networked Control System Architecture for Precision Agriculture (2018).
S060,A layered IoT architecture for greenhouse monitoring and remote control,2019,,A layered IoT architecture for greenhouse monitoring and remote control,2019,"Ibrahim, Hassan, Mostafa, Norhan, Halawa, Hassan, Elsalamouny, Malak, Daoud, Ramez, Amer, Hassanein, Adel, Yasmine, Shaarawi, Amr, Khattab, Ahmed, ElSayed, Hany",10.1007/s42452-019-0227-8,1.0,high,crossref,no,A layered IoT architecture for greenhouse monitoring and remote control (2019).
S061,Context-aware control and monitoring system with IoT and cloud support,2019,,Context-aware control and monitoring system with IoT and cloud support,2019,"Dobrescu, Radu, Merezeanu, Daniel, Mocanu, Stefan",10.1016/j.compag.2019.03.005,1.0,high,crossref,no,Context-aware control and monitoring system with IoT and cloud support (2019).
S062,"Stability analysis for networked control systems with sampling, transmission protocols and input delays",2021,,"Stability analysis for networked control systems with sampling, transmission protocols and input delays",2021,"Liu, Kun-Zhi, Sun, Xi-Ming, Teel, Andrew R., Liu, Jun",10.1016/j.nahs.2020.100974,1.0,high,crossref,no,"Stability analysis for networked control systems with sampling, transmission protocols and input delays (2021)."
S063,Robust Wireless Sensor and Actuator Networks for Networked Control Systems,2019,,Robust Wireless Sensor and Actuator Networks for Networked Control Systems,2019,"Park, Bongsang, Nah, Junghyo, Choi, Jang-Young, Yoon, Ick-Jae, Park, Pangun",10.3390/s19071535,1.0,high,crossref,no,Robust Wireless Sensor and Actuator Networks for Networked Control Systems (2019).
S064,Smart & Green: An Internet-of-Things Framework for Smart Irrigation,2019,,Smart &amp; Green: An Internet-of-Things Framework for Smart Irrigation,2019,"G. S. Campos, Nidia, Rocha, Atslands R., Gondim, Rubens, Coelho da Silva, Ticiana L., Gomes, Danielo G.",10.3390/s20010190,0.97,high,crossref,no,Smart & Green: An Internet-of-Things Framework for Smart Irrigation (2019).
S065,Renewable Energy Integration Into Cloud & IoT-Based Smart Agriculture,2021,10,Renewable Energy Integration Into Cloud &amp; IoT-Based Smart Agriculture,2022,"Bouali, Et-Taibi, Abid, Mohamed Riduan, Boufounas, El-Mahjoub, Hamed, Tareq Abu, Benhaddou, Driss",10.1109/access.2021.3138160,0.971,high,crossref,yes,Renewable Energy Integration Into Cloud & IoT-Based Smart Agriculture (2021). DOI: 10.1109/access.2021.3138160.
S066,High-Order Neural-Network-Based Multi-Model Nonlinear Adaptive Decoupling Control for Microclimate Environment of Plant Factory,2023,10,High-Order Neural-Network-Based Multi-Model Nonlinear Adaptive Decoupling Control for Microclimate Environment of Plant Factory,2023,"Wang, Yonggang, Chen, Ziqi, Jiang, Yingchun, Liu, Tan",10.3390/s23198323,1.0,high,crossref,no,High-Order Neural-Network-Based Multi-Model Nonlinear Adaptive Decoupling Control for Microclimate Environment of Plant Factory (2023). DOI: 10.3390/s23198323.
S067,IOT-BASED SMART AGRICULTURE USING CLOUD BASED STORAGE,2022,10,IOT-BASED SMART AGRICULTURE USING CLOUD BASED STORAGE,2022,,10.56726/irjmets31282,1.0,high,crossref,no,IOT-BASED SMART AGRICULTURE USING CLOUD BASED STORAGE (2022). DOI: 10.56726/irjmets31282.
S068,Research on the Three-Level Integrated Environmental Evaluation Model for Multi-Greenhouse Potatoes,2024,10,Research on the Three-Level Integrated Environmental Evaluation Model for Multi-Greenhouse Potatoes,2024,"Liu, Shize, Zhong, Tao, Zhang, Huan, Zhang, Jian, Pan, Zhiguo, Yang, Ranbing",10.3390/agriculture14071043,1.0,high,crossref,no,Research on the Three-Level Integrated Environmental Evaluation Model for Multi-Greenhouse Potatoes (2024). DOI: 10.3390/agriculture14071043.
S069,Event and Time-Triggered Control Module Layers for Individual Robot Control Architectures of Unmanned Agricultural Ground Vehicles,2017,,Event and Time-Triggered Control Module Layers for Individual Robot Control Architectures of Unmanned Agricultural Ground Vehicles,2017,Tyler A. Troyer,,1.0,high,openalex,no,Event and Time-Triggered Control Module Layers for Individual Robot Control Architectures of Unmanned Agricultural Ground Vehicles (2017).
