id,year,title,tier,tier_reason,record_role,evidence_tier,rob_overall,article_type_flag,retrieval_routes_attempted,p1_application,n1_protocol,c1_strategy,c2_trigger,c3_architecture,evidence_type,comparator_present
S11,2024,Learning-based multi-agent MPC for irrigation scheduling,tier2_context,fulltext_not_retrieved,analytical_primary,E1,not_assessable,not_assessed,5,,,,,,,
S12,2022,Robust sample-based model predictive control of a greenhouse system with parametric uncertainty,tier2_context,fulltext_not_retrieved,analytical_primary,E1,not_assessable,not_assessed,7,,,,,,,
S13,2022,Smart Irrigation System Considering Optimal Energy Management Based on Model Predictive Control (MPC),tier1_core,fulltext_read_and_coded,analytical_primary,E3,high,primary_study,12,irrigation_outdoor,none_no_network,MPC,not_stated,standalone_embedded,simulation_only,none
S14,2018,Robust model predictive control for greenhouse temperature based on particle swarm optimization,tier2_context,fulltext_not_retrieved,analytical_primary,E1,not_assessable,not_assessed,7,,,,,,,
S15,2025,Event-Triggered Control for Scalar Networked Systems with Random Delays,tier2_context,fulltext_not_retrieved,technical_support_primary,E1,not_assessable,not_assessed,3,,,,,,,
S16,2021,Energy-Efficient Wireless Communication Strategy for Precision Agriculture Irrigation Control,tier1_core,fulltext_read_and_coded,analytical_primary,E3,some_concerns,primary_study,0,irrigation_outdoor,ZigBee_802154,STC_self_triggered,self_triggered,standalone_embedded,simulation_only,within_model_comparison
S17,2023,Self-triggered Control with Energy Harvesting Sensor Nodes,tier2_context,fulltext_not_retrieved,technical_support_primary,E1,not_assessable,not_assessed,13,,,,,,,
S18,2024,A Sensitivity-Based Approach to Self-Triggered Nonlinear Model Predictive Control,tier1_core,fulltext_read_and_coded,technical_support_primary,E3,high,primary_study,2,ncs_generic_nonagricultural,none_no_network,MPC,self_triggered,simulation_only,simulation_only,within_model_comparison
S19,2025,Self-Triggered DMPC for Dynamically Coupled Systems With Reduced Conservatism,tier2_context,fulltext_not_retrieved,technical_support_primary,E1,not_assessable,not_assessed,3,,,,,,,
S20,2024,Self-Triggered Distributed Model Predictive Control with Synchronization Parameters Interaction,tier1_core,fulltext_read_and_coded,technical_support_primary,E3,high,primary_study,0,not_stated,none_no_network,MPC,self_triggered,not_stated,simulation_only,none
S21,2013,Event-Based Sensor Data Scheduling: Trade-Off Between Communication Rate and Estimation Quality,tier2_context,fulltext_not_retrieved,technical_support_primary,E1,not_assessable,not_assessed,8,,,,,,,
S22,2018,A survey on recent advances in event-triggered communication and control,tier2_context,methodological_context_source,context_secondary,E1-context,not_assessable,not_assessed,2,,,,,,,
S23,2025,Data-driven-based fully distributed event-triggered control for nonlinear multi-agent systems,tier2_context,fulltext_not_retrieved,technical_support_primary,E1,not_assessable,not_assessed,4,,,,,,,
S24,2025,Event-Triggered Distributed Optimal Bipartite Consensus Control for Multi-Agent Systems via Adaptive Dynamic Programming,tier2_context,fulltext_not_retrieved,technical_support_primary,E1,not_assessable,not_assessed,3,,,,,,,
S25,2024,Disturbance Rejection Self-Triggered Distributed MPC With Adaptive Prediction Horizon for Asynchronous Multiagent System,tier2_context,fulltext_not_retrieved,technical_support_primary,E1,not_assessable,not_assessed,3,,,,,,,
S26,2025,Semi–Global Exponential Stabilization of Nonlinear Time–Delay Systems via Sampled–Data Event–Triggered Controllers,tier2_context,fulltext_not_retrieved,technical_support_primary,E1,not_assessable,not_assessed,3,,,,,,,
S27,2025,Observer-based AE-T cooperative DMPC for a class of interconnected nonlinear systems with time delay and unmodeled dynam,tier2_context,fulltext_not_retrieved,technical_support_primary,E1,not_assessable,not_assessed,3,,,,,,,
S28,2003,The event-triggered sampling optimization criterion for distributed networked monitoring and control systems,tier2_context,fulltext_not_retrieved,technical_support_primary,E1,not_assessable,not_assessed,3,,,,,,,
S29,2015,Stability of output event-based control systems through quadratic trigger functions,tier2_context,fulltext_not_retrieved,technical_support_primary,E1,not_assessable,not_assessed,5,,,,,,,
S30,2022,A Learning Approach for Joint Design of Event-Triggered Control and Power-Efficient Resource Allocation,tier1_core,fulltext_read_and_coded,technical_support_primary,E3,some_concerns,primary_study,0,not_stated,NB_IoT_cellular,RL_ML,event_triggered,simulation_only,simulation_only,none
S31,2023,Intelligent Condensation Irrigation System Based on Internet of Things,tier2_context,fulltext_not_retrieved,analytical_primary,E1,not_assessable,not_assessed,3,,,,,,,
S32,2025,"Control, And Monitoring System Design Cultivation of Lettude Using Method Aeroponics Based on Smart Farming",tier2_context,fulltext_not_retrieved,analytical_primary,E1,not_assessable,not_assessed,3,,,,,,,
S34,2025,Design and performance of nutrient dosing control system for hydroponic chilli plant using fuzzy logic controller,tier1_core,fulltext_read_and_coded,analytical_primary,E3,high,primary_study,0,greenhouse_microclimate,WiFi,Fuzzy,not_stated,standalone_embedded,lab_prototype_or_HIL,none
S35,2023,Smart greenhouse construction and irrigation control system for optimal Brassica Juncea development,tier1_core,fulltext_read_and_coded,analytical_primary,E3,high,primary_study,0,greenhouse_microclimate,WiFi,Fuzzy,manual_remote,cloud,lab_prototype_or_HIL,none
S36,2025,Design and Development of IoT Smart Drip Irrigation and Fertigation Prototype for Small and Medium Scale Farmers. Acase ,tier1_core,fulltext_read_and_coded,analytical_primary,E3,high,primary_study,0,irrigation_outdoor,WiFi,on_off_threshold,not_stated,cloud,lab_prototype_or_HIL,none
S37,2025,IoT-Enabled Adaptive Watering System With ARIMA-Based Soil Moisture Prediction for Smart Agriculture,tier2_context,fulltext_not_retrieved,analytical_primary,E1,not_assessable,not_assessed,7,,,,,,,
S38,2024,"Smart IoT Irrigation System Based on Fuzzy Logic, LoRa, and Cloud Integration",tier1_core,fulltext_read_and_coded,analytical_primary,E3,high,primary_study,0,irrigation_outdoor,LoRa_LoRaWAN,Fuzzy,not_stated,cloud,lab_prototype_or_HIL,concurrent_experimental
S39,2017,Evaluation of event-based irrigation system control scheme for tomato crops in greenhouses,tier2_context,fulltext_not_retrieved,analytical_primary,E1,not_assessable,not_assessed,4,,,,,,,
S40,2015,System Design of Online Monitoring and Controlling System Based on Zigbee in Greenhouse,tier1_core,fulltext_read_and_coded,analytical_primary,E2,high,primary_study,4,greenhouse_microclimate,ZigBee_802154,on_off_threshold,time_triggered,standalone_embedded,lab_prototype_or_HIL,concurrent_experimental
S41,2025,Research on Precision Paddy Field Irrigation Control Technology Based on Multi-Source Sensing Hybrid Model,tier1_core,fulltext_read_and_coded,analytical_primary,E3,some_concerns,primary_study,0,irrigation_outdoor,LoRa_LoRaWAN,Fuzzy,not_stated,hybrid_cloud_edge,field_deployment,concurrent_experimental
S42,2025,Sustainable Smart Irrigation System (SIS) using solar PV with rainwater harvesting technique for indoor plants,tier1_core,fulltext_read_and_coded,analytical_primary,E2,some_concerns,primary_study,0,hydroponic_cea,NB_IoT_cellular,on_off_threshold,not_stated,cloud,lab_prototype_or_HIL,none
S43,2020,A Solar-Powered Fertigation System Based on Low-Cost Wireless Sensor Network Remotely Controlled by Farmer for Irrigatio,tier1_core,fulltext_read_and_coded,analytical_primary,E2,high,primary_study,0,not_stated,WiFi,not_stated,time_triggered,cloud,lab_prototype_or_HIL,none
S44,2025,Design and Implementation of an Autonomous Intelligent Fertigation System for Cross-Regional Applications,tier1_core,fulltext_read_and_coded,analytical_primary,E2,some_concerns,primary_study,1,irrigation_outdoor,WiFi,Fuzzy,not_stated,standalone_embedded,lab_prototype_or_HIL,concurrent_experimental
S45,2025,Research and Development of an IoT Smart Irrigation System for Farmland Based on LoRa and Edge Computing,tier1_core,fulltext_read_and_coded,analytical_primary,E2,high,primary_study,1,irrigation_outdoor,LoRa_LoRaWAN,Fuzzy,time_triggered,hybrid_cloud_edge,field_deployment,none
S46,2020,Leveraging LoRaWAN technology for precision agriculture in greenhouses,tier2_context,retrieved_but_secondary_review,context_secondary,E2,not_assessable,secondary_review,1,greenhouse_microclimate,LoRa_LoRaWAN,not_stated,not_stated,edge_local,field_deployment,none
S47,2025,"Hybrid LoRaWAN–MQTT Architecture for Portable Smart Greenhouses: Cross-Layer Validation of Latency, Energy, and ADMR Tra",tier2_context,fulltext_not_retrieved,analytical_primary,E1,not_assessable,not_assessed,5,,,,,,,
S48,2025,LoRa-Based Smart Agriculture Monitoring and Automatic Irrigation System,tier1_core,fulltext_read_and_coded,analytical_primary,E2,high,primary_study,0,not_stated,mixed,Fuzzy,not_stated,cloud,lab_prototype_or_HIL,none
S49,2017,Wireless sensor networks for greenhouse climate and plant condition assessment,tier2_context,fulltext_not_retrieved,analytical_primary,E1,not_assessable,not_assessed,4,,,,,,,
S50,2018,WIRELESS SENSOR NETWORK BASED REMOTE DRIP IRRIGATION SYSTEM,tier2_context,fulltext_not_retrieved,analytical_primary,E1,not_assessable,not_assessed,11,,,,,,,
S51,2021,IoT Based Smart Automated Agriculture and Real Time Monitoring System,tier2_context,fulltext_not_retrieved,technical_support_primary,E1,not_assessable,not_assessed,3,,,,,,,
S52,2020,"Design, Implementation, and Empirical Validation of an IoT Smart Irrigation System for Fog Computing Applications Based ",tier1_core,fulltext_read_and_coded,analytical_primary,E2,some_concerns,primary_study,1,irrigation_outdoor,LoRa_LoRaWAN,Fuzzy,not_stated,cloud,mixed_experiment_and_simulation,none
S55,2022,Design of IoT Monitoring System Based on LoRaWAN Architecture for Smart Green House,tier1_core,fulltext_read_and_coded,analytical_primary,E2,high,primary_study,0,not_stated,LoRa_LoRaWAN,none_monitoring_only,not_stated,not_stated,lab_prototype_or_HIL,none
S56,2021,Research and Design of Greenhouse Environment Monitoring System Based on NB-IoT,tier2_context,fulltext_not_retrieved,analytical_primary,E1,not_assessable,not_assessed,3,,,,,,,
S57,2019,Smart Agriculture: Automated Controlled Monitoring System using Internet of Things,tier1_core,fulltext_read_and_coded,technical_support_primary,E2,high,primary_study,0,hydroponic_cea,WiFi,none_monitoring_only,not_stated,standalone_embedded,lab_prototype_or_HIL,none
S58,2020,Wireless sensor network to identify the reduction of meteorological gradients in greenhouse in subtropical conditions,tier1_core,fulltext_read_and_coded,analytical_primary,E3,some_concerns,primary_study,0,greenhouse_microclimate,none_no_network,not_stated,not_stated,not_stated,simulation_only,none
S59,2019,Smart Water Management Platform: IoT-Based Precision Irrigation for Agriculture,tier1_core,fulltext_read_and_coded,analytical_primary,E3,some_concerns,primary_study,0,irrigation_outdoor,LoRa_LoRaWAN,not_stated,time_triggered,hybrid_cloud_edge,lab_prototype_or_HIL,none
S60,2017,Monitoring Citrus Soil Moisture and Nutrients Using an IoT Based System,tier1_core,fulltext_read_and_coded,analytical_primary,E3,high,primary_study,0,not_stated,ZigBee_802154,none_monitoring_only,not_stated,not_stated,simulation_only,none
S61,2015,Using a Novel Wireless-Networked Decentralized Control Scheme under Unpredictable Environmental Conditions,tier1_core,fulltext_read_and_coded,technical_support_primary,E3,high,primary_study,0,greenhouse_microclimate,ZigBee_802154,MPC,not_stated,standalone_embedded,lab_prototype_or_HIL,none
S62,2018,A High Availability Networked Control System Architecture for Precision Agriculture,tier2_context,fulltext_not_retrieved,technical_support_primary,E1,not_assessable,not_assessed,3,,,,,,,
S63,2019,A layered IoT architecture for greenhouse monitoring and remote control,tier1_core,fulltext_read_and_coded,analytical_primary,E3,high,primary_study,1,greenhouse_microclimate,mixed,none_monitoring_only,time_triggered,cloud,simulation_only,none
S64,2019,Context-aware control and monitoring system with IoT and cloud support,tier2_context,fulltext_not_retrieved,technical_support_primary,E1,not_assessable,not_assessed,3,,,,,,,
S65,2021,"Stability analysis for networked control systems with sampling, transmission protocols and input delays",tier2_context,fulltext_not_retrieved,technical_support_primary,E1,not_assessable,not_assessed,4,,,,,,,
S66,2019,Robust Wireless Sensor and Actuator Networks for Networked Control Systems,tier1_core,fulltext_read_and_coded,technical_support_primary,E3,some_concerns,primary_study,0,not_stated,ZigBee_802154,MPC,not_stated,not_stated,simulation_only,none
S67,2019,Smart &amp; Green: An Internet-of-Things Framework for Smart Irrigation,tier1_core,fulltext_read_and_coded,analytical_primary,E3,high,primary_study,0,irrigation_outdoor,LoRa_LoRaWAN,none_monitoring_only,not_stated,cloud,simulation_only,within_model_comparison
